exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
13VW2VO,0,left_hip_angle,108.27,"(0.568,0.543)",start
13VW2VO,0,left_knee_angle,113.06,"(0.779,0.620)",start
13VW2VO,0,right_hip_angle,145.71,"(0.490,0.565)",start
13VW2VO,0,right_knee_angle,133.07,"(0.372,0.748)",start
13VW2VO,3,left_hip_angle,105.67,"(0.573,0.554)",quarter
13VW2VO,3,left_knee_angle,86.2,"(0.798,0.623)",quarter
13VW2VO,3,right_hip_angle,167.1,"(0.502,0.581)",quarter
13VW2VO,3,right_knee_angle,87.76,"(0.543,0.751)",quarter
13VW2VO,6,left_hip_angle,80.18,"(0.594,0.656)",peak
13VW2VO,6,left_knee_angle,71.38,"(0.812,0.623)",peak
13VW2VO,6,right_hip_angle,167.09,"(0.527,0.684)",peak
13VW2VO,6,right_knee_angle,75.24,"(0.479,0.896)",peak
13VW2VO,9,left_hip_angle,92.83,"(0.591,0.611)",return
13VW2VO,9,left_knee_angle,87.58,"(0.816,0.627)",return
13VW2VO,9,right_hip_angle,162.34,"(0.519,0.634)",return
13VW2VO,9,right_knee_angle,93.45,"(0.457,0.833)",return
13VW2VO,11,left_hip_angle,97.42,"(0.589,0.589)",end
13VW2VO,11,left_knee_angle,94.8,"(0.812,0.625)",end
13VW2VO,11,right_hip_angle,159.39,"(0.516,0.629)",end
13VW2VO,11,right_knee_angle,99.98,"(0.447,0.827)",end
