exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
17bqEXD,0,left_knee_angle,166.63,"(0.616,0.783)",start
17bqEXD,0,right_knee_angle,169.83,"(0.473,0.723)",start
17bqEXD,0,right_ankle_angle,99.54,"(0.235,0.859)",start
17bqEXD,0,left_ankle_angle,132.17,"(0.346,0.849)",start
17bqEXD,3,left_knee_angle,104.33,"(0.560,0.607)",quarter
17bqEXD,3,right_knee_angle,79.59,"(0.447,0.563)",quarter
17bqEXD,3,right_ankle_angle,84.09,"(0.312,0.826)",quarter
17bqEXD,3,left_ankle_angle,104.89,"(0.287,0.849)",quarter
17bqEXD,6,left_knee_angle,100.81,"(0.488,0.631)",peak
17bqEXD,6,right_knee_angle,60.69,"(0.404,0.572)",peak
17bqEXD,6,right_ankle_angle,135.43,"(0.357,0.831)",peak
17bqEXD,6,left_ankle_angle,134.48,"(0.331,0.815)",peak
17bqEXD,9,left_knee_angle,104.64,"(0.526,0.617)",return
17bqEXD,9,right_knee_angle,66.47,"(0.419,0.552)",return
17bqEXD,9,right_ankle_angle,113.22,"(0.327,0.826)",return
17bqEXD,9,left_ankle_angle,135.52,"(0.291,0.822)",return
17bqEXD,11,left_knee_angle,148.45,"(0.537,0.712)",end
17bqEXD,11,right_knee_angle,95.25,"(0.423,0.602)",end
17bqEXD,11,right_ankle_angle,85.12,"(0.259,0.837)",end
17bqEXD,11,left_ankle_angle,131.22,"(0.287,0.836)",end
