exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
1PLE8e9,0,left_elbow_angle,7.79,"(0.668,0.491)",start
1PLE8e9,0,torso_angle,38.35529005700583,,start
1PLE8e9,0,right_shoulder_angle,46.89,"(0.482,0.369)",start
1PLE8e9,0,left_shoulder_angle,89.24,"(0.599,0.421)",start
1PLE8e9,0,right_elbow_angle,123.62,"(0.411,0.384)",start
1PLE8e9,3,left_elbow_angle,6.07,"(0.630,0.472)",quarter
1PLE8e9,3,torso_angle,38.693346715318945,,quarter
1PLE8e9,3,right_shoulder_angle,45.51,"(0.488,0.371)",quarter
1PLE8e9,3,left_shoulder_angle,75.34,"(0.599,0.421)",quarter
1PLE8e9,3,right_elbow_angle,65.38,"(0.427,0.384)",quarter
1PLE8e9,6,left_elbow_angle,156.4,"(0.556,0.307)",peak
1PLE8e9,6,torso_angle,37.52352958576349,,peak
1PLE8e9,6,right_shoulder_angle,118.2,"(0.492,0.371)",peak
1PLE8e9,6,left_shoulder_angle,121.5,"(0.589,0.415)",peak
1PLE8e9,6,right_elbow_angle,144.88,"(0.448,0.291)",peak
1PLE8e9,9,left_elbow_angle,73.65,"(0.570,0.409)",return
1PLE8e9,9,torso_angle,38.17914034522698,,return
1PLE8e9,9,right_shoulder_angle,94.2,"(0.493,0.371)",return
1PLE8e9,9,left_shoulder_angle,58.39,"(0.598,0.415)",return
1PLE8e9,9,right_elbow_angle,114.75,"(0.439,0.331)",return
1PLE8e9,11,left_elbow_angle,24.74,"(0.582,0.448)",end
1PLE8e9,11,torso_angle,38.081721644545624,,end
1PLE8e9,11,right_shoulder_angle,67.88,"(0.492,0.370)",end
1PLE8e9,11,left_shoulder_angle,14.98,"(0.600,0.414)",end
1PLE8e9,11,right_elbow_angle,154.71,"(0.424,0.358)",end
