exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
1VpF8db,0,right_shoulder_angle,1.33,"(0.242,0.209)",start
1VpF8db,0,left_shoulder_angle,28.07,"(0.379,0.208)",start
1VpF8db,0,left_elbow_angle,26.08,"(0.412,0.299)",start
1VpF8db,0,right_hip_angle,172.96,"(0.273,0.435)",start
1VpF8db,0,right_elbow_angle,52.29,"(0.257,0.303)",start
1VpF8db,0,right_knee_angle,172.62,"(0.276,0.613)",start
1VpF8db,0,left_hip_angle,169.03,"(0.345,0.444)",start
1VpF8db,0,left_knee_angle,175.77,"(0.354,0.620)",start
1VpF8db,6,right_shoulder_angle,10.95,"(0.453,0.404)",peak
1VpF8db,6,left_shoulder_angle,3.47,"(0.576,0.372)",peak
1VpF8db,6,left_elbow_angle,171.76,"(0.565,0.492)",peak
1VpF8db,6,right_hip_angle,170.24,"(0.469,0.631)",peak
1VpF8db,6,right_elbow_angle,172.18,"(0.436,0.548)",peak
1VpF8db,6,right_knee_angle,84.24,"(0.448,0.848)",peak
1VpF8db,6,left_hip_angle,108.31,"(0.541,0.607)",peak
1VpF8db,6,left_knee_angle,110.9,"(0.707,0.691)",peak
1VpF8db,9,right_shoulder_angle,12.82,"(0.456,0.395)",return
1VpF8db,9,left_shoulder_angle,4.35,"(0.576,0.371)",return
1VpF8db,9,left_elbow_angle,160.85,"(0.567,0.490)",return
1VpF8db,9,right_hip_angle,171.84,"(0.469,0.631)",return
1VpF8db,9,right_elbow_angle,164.74,"(0.435,0.519)",return
1VpF8db,9,right_knee_angle,79.85,"(0.451,0.846)",return
1VpF8db,9,left_hip_angle,108.08,"(0.541,0.607)",return
1VpF8db,9,left_knee_angle,110.37,"(0.708,0.690)",return
1VpF8db,11,right_shoulder_angle,24.65,"(0.501,0.352)",end
1VpF8db,11,left_shoulder_angle,6.72,"(0.573,0.367)",end
1VpF8db,11,left_elbow_angle,157.85,"(0.571,0.488)",end
1VpF8db,11,right_hip_angle,153.19,"(0.508,0.605)",end
1VpF8db,11,right_elbow_angle,73.69,"(0.483,0.393)",end
1VpF8db,11,right_knee_angle,152.03,"(0.567,0.714)",end
1VpF8db,11,left_hip_angle,112.3,"(0.543,0.595)",end
1VpF8db,11,left_knee_angle,114.46,"(0.708,0.689)",end
