exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
2JCuFTU,0,right_shoulder_angle,16.79,"(0.393,0.241)",start
2JCuFTU,0,right_elbow_angle,157.82,"(0.379,0.356)",start
2JCuFTU,3,right_shoulder_angle,12.52,"(0.394,0.238)",quarter
2JCuFTU,3,right_elbow_angle,54.85,"(0.387,0.355)",quarter
2JCuFTU,6,right_shoulder_angle,14.08,"(0.394,0.236)",peak
2JCuFTU,6,right_elbow_angle,49.6,"(0.383,0.362)",peak
2JCuFTU,6,left_shoulder_angle,49.63,"(0.536,0.234)",peak
2JCuFTU,9,right_shoulder_angle,13.51,"(0.393,0.235)",return
2JCuFTU,9,right_elbow_angle,65.59,"(0.384,0.362)",return
2JCuFTU,11,right_shoulder_angle,12.42,"(0.393,0.236)",end
2JCuFTU,11,right_elbow_angle,173.95,"(0.384,0.377)",end
