exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
3s4NnTh,0,right_shoulder_angle,16.74,"(0.415,0.226)",start
3s4NnTh,0,right_elbow_angle,177.03,"(0.401,0.352)",start
3s4NnTh,0,left_shoulder_angle,10.05,"(0.559,0.217)",start
3s4NnTh,3,right_shoulder_angle,15.55,"(0.417,0.221)",quarter
3s4NnTh,3,right_elbow_angle,57.08,"(0.405,0.336)",quarter
3s4NnTh,3,left_shoulder_angle,40.83,"(0.563,0.216)",quarter
3s4NnTh,6,right_shoulder_angle,9.23,"(0.420,0.217)",peak
3s4NnTh,6,right_elbow_angle,47.99,"(0.419,0.345)",peak
3s4NnTh,6,left_shoulder_angle,28.24,"(0.563,0.219)",peak
3s4NnTh,6,left_elbow_angle,19.58,"(0.602,0.311)",peak
3s4NnTh,9,right_shoulder_angle,3.82,"(0.422,0.216)",return
3s4NnTh,9,right_elbow_angle,48.25,"(0.429,0.315)",return
3s4NnTh,9,left_shoulder_angle,44.6,"(0.563,0.219)",return
3s4NnTh,9,left_elbow_angle,52.86,"(0.624,0.293)",return
3s4NnTh,11,right_shoulder_angle,5.15,"(0.424,0.213)",end
3s4NnTh,11,right_elbow_angle,114.86,"(0.427,0.308)",end
3s4NnTh,11,left_shoulder_angle,30.07,"(0.563,0.219)",end
3s4NnTh,11,left_elbow_angle,153.15,"(0.598,0.295)",end
