exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
4Leypho,0,left_shoulder_angle,17.37,"(0.353,0.243)",start
4Leypho,0,left_elbow_angle,69.36,"(0.415,0.349)",start
4Leypho,3,left_shoulder_angle,0.99,"(0.340,0.258)",quarter
4Leypho,3,left_elbow_angle,1.48,"(0.430,0.332)",quarter
4Leypho,6,left_shoulder_angle,11.34,"(0.354,0.262)",peak
4Leypho,6,left_elbow_angle,15.11,"(0.496,0.334)",peak
4Leypho,9,left_shoulder_angle,14.69,"(0.351,0.254)",return
4Leypho,9,left_elbow_angle,6.97,"(0.489,0.317)",return
4Leypho,11,left_shoulder_angle,3.46,"(0.348,0.245)",end
4Leypho,11,left_elbow_angle,19.72,"(0.448,0.322)",end
