exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
5MRH8H2,0,left_knee_angle,153.1,"(0.606,0.673)",start
5MRH8H2,0,right_knee_angle,157.73,"(0.440,0.704)",start
5MRH8H2,0,left_hip_angle,155.67,"(0.524,0.501)",start
5MRH8H2,0,right_hip_angle,167.75,"(0.471,0.505)",start
5MRH8H2,6,left_knee_angle,154.15,"(0.549,0.651)",quarter
5MRH8H2,6,right_knee_angle,160.6,"(0.490,0.670)",quarter
5MRH8H2,6,left_hip_angle,172.94,"(0.524,0.471)",quarter
5MRH8H2,6,right_hip_angle,179.0,"(0.471,0.474)",quarter
5MRH8H2,12,left_knee_angle,138.5,"(0.515,0.674)",peak
5MRH8H2,12,right_knee_angle,158.86,"(0.552,0.677)",peak
5MRH8H2,12,left_hip_angle,170.65,"(0.500,0.477)",peak
5MRH8H2,12,right_hip_angle,163.86,"(0.473,0.475)",peak
5MRH8H2,18,left_knee_angle,151.46,"(0.536,0.657)",return
5MRH8H2,18,right_knee_angle,156.22,"(0.510,0.666)",return
5MRH8H2,18,left_hip_angle,166.84,"(0.507,0.468)",return
5MRH8H2,18,right_hip_angle,174.03,"(0.468,0.467)",return
5MRH8H2,23,left_knee_angle,153.88,"(0.585,0.659)",end
5MRH8H2,23,right_knee_angle,150.83,"(0.466,0.690)",end
5MRH8H2,23,left_hip_angle,153.54,"(0.509,0.481)",end
5MRH8H2,23,right_hip_angle,174.47,"(0.467,0.489)",end
