exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
5bpPTHv,0,left_hip_angle,170.81,"(0.474,0.476)",start
5bpPTHv,0,left_knee_angle,165.71,"(0.487,0.676)",start
5bpPTHv,0,right_hip_angle,177.52,"(0.392,0.480)",start
5bpPTHv,0,right_knee_angle,172.23,"(0.440,0.694)",start
5bpPTHv,3,left_hip_angle,151.95,"(0.472,0.486)",quarter
5bpPTHv,3,left_knee_angle,148.13,"(0.523,0.615)",quarter
5bpPTHv,3,right_hip_angle,169.35,"(0.385,0.500)",quarter
5bpPTHv,3,right_knee_angle,177.88,"(0.441,0.660)",quarter
5bpPTHv,6,left_hip_angle,131.09,"(0.473,0.670)",peak
5bpPTHv,6,left_knee_angle,124.69,"(0.516,0.719)",peak
5bpPTHv,6,right_hip_angle,87.1,"(0.383,0.679)",peak
5bpPTHv,6,right_knee_angle,134.97,"(0.455,0.663)",peak
5bpPTHv,9,left_hip_angle,125.37,"(0.473,0.546)",return
5bpPTHv,9,left_knee_angle,152.23,"(0.550,0.616)",return
5bpPTHv,9,right_hip_angle,98.02,"(0.382,0.622)",return
5bpPTHv,9,right_knee_angle,104.99,"(0.437,0.624)",return
5bpPTHv,11,left_hip_angle,160.09,"(0.474,0.510)",end
5bpPTHv,11,left_knee_angle,167.23,"(0.513,0.671)",end
5bpPTHv,11,right_hip_angle,168.16,"(0.382,0.531)",end
5bpPTHv,11,right_knee_angle,168.98,"(0.432,0.672)",end
