exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
5fKX7wi,0,left_shoulder_angle,156.9,"(0.563,0.381)",start
5fKX7wi,0,left_elbow_angle,2.3,"(0.617,0.295)",start
5fKX7wi,3,left_shoulder_angle,158.3,"(0.559,0.382)",quarter
5fKX7wi,3,left_elbow_angle,132.67,"(0.592,0.324)",quarter
5fKX7wi,6,left_shoulder_angle,172.82,"(0.553,0.383)",peak
5fKX7wi,6,left_elbow_angle,166.37,"(0.571,0.318)",peak
5fKX7wi,9,left_shoulder_angle,159.75,"(0.554,0.385)",return
5fKX7wi,9,left_elbow_angle,148.82,"(0.578,0.340)",return
5fKX7wi,11,left_shoulder_angle,157.44,"(0.554,0.385)",end
5fKX7wi,11,left_elbow_angle,140.87,"(0.583,0.335)",end
