exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
61GrD55,0,left_shoulder_angle,86.05,"(0.373,0.600)",start
61GrD55,0,right_shoulder_angle,70.92,"(0.461,0.615)",start
61GrD55,0,left_elbow_angle,173.16,"(0.375,0.474)",start
61GrD55,0,right_elbow_angle,137.97,"(0.501,0.504)",start
61GrD55,3,left_shoulder_angle,94.9,"(0.409,0.571)",quarter
61GrD55,3,right_shoulder_angle,47.25,"(0.475,0.638)",quarter
61GrD55,3,left_elbow_angle,178.76,"(0.410,0.454)",quarter
61GrD55,3,right_elbow_angle,88.84,"(0.520,0.585)",quarter
61GrD55,6,left_shoulder_angle,103.15,"(0.415,0.590)",peak
61GrD55,6,right_shoulder_angle,104.85,"(0.466,0.633)",peak
61GrD55,6,left_elbow_angle,12.47,"(0.402,0.500)",peak
61GrD55,6,right_elbow_angle,158.61,"(0.452,0.582)",peak
61GrD55,9,left_shoulder_angle,100.27,"(0.415,0.589)",return
61GrD55,9,right_shoulder_angle,95.18,"(0.492,0.620)",return
61GrD55,9,left_elbow_angle,176.67,"(0.412,0.480)",return
61GrD55,9,right_elbow_angle,126.09,"(0.489,0.553)",return
61GrD55,11,left_shoulder_angle,103.29,"(0.407,0.600)",end
61GrD55,11,right_shoulder_angle,94.84,"(0.486,0.603)",end
61GrD55,11,left_elbow_angle,175.82,"(0.391,0.505)",end
61GrD55,11,right_elbow_angle,158.47,"(0.491,0.459)",end
