exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
6TG6x2w,0,left_shoulder_angle,18.37,"(0.478,0.234)",start
6TG6x2w,0,right_shoulder_angle,5.56,"(0.339,0.232)",start
6TG6x2w,0,left_elbow_angle,151.47,"(0.506,0.351)",start
6TG6x2w,0,right_elbow_angle,144.74,"(0.346,0.354)",start
6TG6x2w,3,left_shoulder_angle,19.14,"(0.478,0.229)",quarter
6TG6x2w,3,right_shoulder_angle,5.85,"(0.341,0.229)",quarter
6TG6x2w,3,left_elbow_angle,139.6,"(0.506,0.337)",quarter
6TG6x2w,3,right_elbow_angle,88.88,"(0.346,0.324)",quarter
6TG6x2w,6,left_shoulder_angle,21.82,"(0.478,0.227)",peak
6TG6x2w,6,right_shoulder_angle,10.22,"(0.341,0.228)",peak
6TG6x2w,6,left_elbow_angle,75.66,"(0.513,0.339)",peak
6TG6x2w,6,right_elbow_angle,59.12,"(0.339,0.336)",peak
6TG6x2w,9,left_shoulder_angle,21.5,"(0.478,0.224)",return
6TG6x2w,9,right_shoulder_angle,7.81,"(0.342,0.227)",return
6TG6x2w,9,left_elbow_angle,98.41,"(0.510,0.329)",return
6TG6x2w,9,right_elbow_angle,78.67,"(0.344,0.324)",return
6TG6x2w,11,left_shoulder_angle,19.97,"(0.479,0.225)",end
6TG6x2w,11,right_shoulder_angle,8.06,"(0.342,0.225)",end
6TG6x2w,11,left_elbow_angle,174.45,"(0.509,0.331)",end
6TG6x2w,11,right_elbow_angle,119.18,"(0.344,0.327)",end
