exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
7WaDzyL,0,left_hip_angle,173.14,"(0.471,0.506)",start
7WaDzyL,0,left_knee_angle,179.39,"(0.671,0.539)",start
7WaDzyL,0,right_hip_angle,174.35,"(0.457,0.591)",start
7WaDzyL,0,right_knee_angle,148.17,"(0.620,0.623)",start
7WaDzyL,3,left_hip_angle,176.62,"(0.471,0.492)",quarter
7WaDzyL,3,left_knee_angle,142.85,"(0.673,0.526)",quarter
7WaDzyL,3,right_hip_angle,169.13,"(0.458,0.578)",quarter
7WaDzyL,3,right_knee_angle,137.18,"(0.623,0.619)",quarter
7WaDzyL,6,left_hip_angle,129.94,"(0.466,0.487)",peak
7WaDzyL,6,left_knee_angle,179.35,"(0.641,0.350)",peak
7WaDzyL,6,right_hip_angle,167.92,"(0.460,0.576)",peak
7WaDzyL,6,right_knee_angle,133.57,"(0.620,0.618)",peak
7WaDzyL,9,left_hip_angle,154.67,"(0.467,0.486)",return
7WaDzyL,9,left_knee_angle,175.47,"(0.653,0.439)",return
7WaDzyL,9,right_hip_angle,168.37,"(0.461,0.577)",return
7WaDzyL,9,right_knee_angle,137.48,"(0.630,0.618)",return
7WaDzyL,11,left_hip_angle,176.88,"(0.467,0.486)",end
7WaDzyL,11,left_knee_angle,177.5,"(0.657,0.513)",end
7WaDzyL,11,right_hip_angle,168.58,"(0.461,0.577)",end
7WaDzyL,11,right_knee_angle,137.31,"(0.632,0.617)",end
