exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
9E25EOx,0,left_hip_angle,138.38,"(0.548,0.511)",start
9E25EOx,0,left_knee_angle,145.84,"(0.672,0.665)",start
9E25EOx,0,right_hip_angle,151.54,"(0.478,0.516)",start
9E25EOx,0,right_knee_angle,164.44,"(0.379,0.699)",start
9E25EOx,3,left_hip_angle,132.75,"(0.543,0.512)",quarter
9E25EOx,3,left_knee_angle,130.24,"(0.704,0.666)",quarter
9E25EOx,3,right_hip_angle,172.94,"(0.480,0.517)",quarter
9E25EOx,3,right_knee_angle,118.1,"(0.495,0.699)",quarter
9E25EOx,6,left_hip_angle,103.95,"(0.543,0.623)",peak
9E25EOx,6,left_knee_angle,97.54,"(0.723,0.672)",peak
9E25EOx,6,right_hip_angle,177.45,"(0.479,0.652)",peak
9E25EOx,6,right_knee_angle,85.44,"(0.468,0.876)",peak
9E25EOx,9,left_hip_angle,117.78,"(0.545,0.581)",return
9E25EOx,9,left_knee_angle,112.74,"(0.714,0.671)",return
9E25EOx,9,right_hip_angle,175.43,"(0.482,0.599)",return
9E25EOx,9,right_knee_angle,107.66,"(0.465,0.802)",return
9E25EOx,11,left_hip_angle,123.31,"(0.545,0.534)",end
9E25EOx,11,left_knee_angle,119.54,"(0.712,0.644)",end
9E25EOx,11,right_hip_angle,161.67,"(0.482,0.542)",end
9E25EOx,11,right_knee_angle,145.58,"(0.422,0.720)",end
