exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
9RT8oQW,0,right_shoulder_angle,29.24,"(0.380,0.287)",start
9RT8oQW,0,right_elbow_angle,168.12,"(0.335,0.432)",start
9RT8oQW,3,right_shoulder_angle,43.59,"(0.364,0.302)",quarter
9RT8oQW,3,right_elbow_angle,8.61,"(0.302,0.408)",quarter
9RT8oQW,6,right_shoulder_angle,83.65,"(0.359,0.394)",peak
9RT8oQW,6,right_elbow_angle,84.25,"(0.258,0.422)",peak
9RT8oQW,9,right_shoulder_angle,64.04,"(0.361,0.351)",return
9RT8oQW,9,right_elbow_angle,68.42,"(0.276,0.411)",return
9RT8oQW,11,right_shoulder_angle,46.15,"(0.388,0.314)",end
9RT8oQW,11,right_elbow_angle,68.83,"(0.325,0.396)",end
