exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
9n2149Z,0,left_hip_angle,88.33,"(0.599,0.656)",start
9n2149Z,0,left_knee_angle,81.31,"(0.596,0.499)",start
9n2149Z,0,right_hip_angle,96.36,"(0.651,0.686)",start
9n2149Z,0,right_knee_angle,86.29,"(0.678,0.512)",start
9n2149Z,3,left_hip_angle,88.17,"(0.604,0.667)",quarter
9n2149Z,3,left_knee_angle,85.42,"(0.603,0.513)",quarter
9n2149Z,3,right_hip_angle,90.87,"(0.657,0.700)",quarter
9n2149Z,3,right_knee_angle,89.2,"(0.652,0.548)",quarter
9n2149Z,6,left_hip_angle,132.87,"(0.504,0.679)",peak
9n2149Z,6,left_knee_angle,150.08,"(0.596,0.577)",peak
9n2149Z,6,right_hip_angle,137.53,"(0.517,0.718)",peak
9n2149Z,6,right_knee_angle,145.66,"(0.625,0.593)",peak
9n2149Z,9,left_hip_angle,125.18,"(0.473,0.675)",return
9n2149Z,9,left_knee_angle,132.43,"(0.561,0.549)",return
9n2149Z,9,right_hip_angle,141.54,"(0.490,0.719)",return
9n2149Z,9,right_knee_angle,151.55,"(0.598,0.608)",return
9n2149Z,11,left_hip_angle,90.92,"(0.569,0.669)",end
9n2149Z,11,left_knee_angle,77.39,"(0.569,0.498)",end
9n2149Z,11,right_hip_angle,89.98,"(0.616,0.706)",end
9n2149Z,11,right_knee_angle,79.48,"(0.600,0.528)",end
