exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
9pa4H5m,0,left_elbow_angle,33.22,"(0.574,0.339)",start
9pa4H5m,0,torso_angle,2.934698006922545,,start
9pa4H5m,0,right_elbow_angle,61.81,"(0.391,0.321)",start
9pa4H5m,0,left_hip_angle,167.29,"(0.539,0.474)",start
9pa4H5m,0,right_hip_angle,169.56,"(0.463,0.477)",start
9pa4H5m,3,left_elbow_angle,126.58,"(0.619,0.274)",quarter
9pa4H5m,3,torso_angle,1.8675576450610174,,quarter
9pa4H5m,3,right_elbow_angle,93.56,"(0.428,0.282)",quarter
9pa4H5m,3,left_hip_angle,167.85,"(0.540,0.475)",quarter
9pa4H5m,3,right_hip_angle,171.07,"(0.466,0.478)",quarter
9pa4H5m,6,left_elbow_angle,143.77,"(0.634,0.254)",peak
9pa4H5m,6,torso_angle,0.36608604276746826,,peak
9pa4H5m,6,right_elbow_angle,136.87,"(0.540,0.270)",peak
9pa4H5m,6,left_hip_angle,168.33,"(0.541,0.476)",peak
9pa4H5m,6,right_hip_angle,174.83,"(0.470,0.479)",peak
9pa4H5m,9,left_elbow_angle,139.93,"(0.634,0.256)",return
9pa4H5m,9,torso_angle,0.9019520513677804,,return
9pa4H5m,9,right_elbow_angle,121.7,"(0.512,0.279)",return
9pa4H5m,9,left_hip_angle,169.25,"(0.542,0.476)",return
9pa4H5m,9,right_hip_angle,172.58,"(0.471,0.479)",return
9pa4H5m,11,left_elbow_angle,127.41,"(0.622,0.271)",end
9pa4H5m,11,torso_angle,1.6144669384676216,,end
9pa4H5m,11,right_elbow_angle,93.68,"(0.413,0.297)",end
9pa4H5m,11,left_hip_angle,169.51,"(0.543,0.475)",end
9pa4H5m,11,right_hip_angle,171.3,"(0.471,0.478)",end
