exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
AQ0mC4Y,0,right_shoulder_angle,17.99,"(0.421,0.248)",start
AQ0mC4Y,0,right_elbow_angle,22.85,"(0.405,0.339)",start
AQ0mC4Y,3,right_shoulder_angle,102.46,"(0.421,0.235)",quarter
AQ0mC4Y,3,right_elbow_angle,160.11,"(0.373,0.231)",quarter
AQ0mC4Y,6,right_shoulder_angle,116.19,"(0.422,0.228)",peak
AQ0mC4Y,6,right_elbow_angle,170.35,"(0.330,0.198)",peak
AQ0mC4Y,9,right_shoulder_angle,112.88,"(0.421,0.229)",return
AQ0mC4Y,9,right_elbow_angle,156.6,"(0.346,0.209)",return
AQ0mC4Y,11,right_shoulder_angle,31.89,"(0.421,0.230)",end
AQ0mC4Y,11,right_elbow_angle,170.58,"(0.372,0.342)",end
