exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
B3Rxp6L,0,left_elbow_angle,146.77,"(0.647,0.495)",start
B3Rxp6L,0,right_shoulder_angle,103.55,"(0.451,0.343)",start
B3Rxp6L,0,left_shoulder_angle,92.46,"(0.572,0.428)",start
B3Rxp6L,0,right_elbow_angle,167.34,"(0.380,0.279)",start
B3Rxp6L,3,left_elbow_angle,155.93,"(0.643,0.488)",quarter
B3Rxp6L,3,right_shoulder_angle,111.98,"(0.451,0.356)",quarter
B3Rxp6L,3,left_shoulder_angle,95.97,"(0.563,0.429)",quarter
B3Rxp6L,3,right_elbow_angle,138.13,"(0.382,0.268)",quarter
B3Rxp6L,6,left_elbow_angle,173.05,"(0.557,0.377)",peak
B3Rxp6L,6,right_shoulder_angle,115.02,"(0.455,0.365)",peak
B3Rxp6L,6,left_shoulder_angle,139.46,"(0.557,0.425)",peak
B3Rxp6L,6,right_elbow_angle,137.88,"(0.402,0.286)",peak
B3Rxp6L,9,left_elbow_angle,178.16,"(0.599,0.437)",return
B3Rxp6L,9,right_shoulder_angle,119.09,"(0.454,0.364)",return
B3Rxp6L,9,left_shoulder_angle,116.18,"(0.558,0.426)",return
B3Rxp6L,9,right_elbow_angle,150.75,"(0.398,0.268)",return
B3Rxp6L,11,left_elbow_angle,163.45,"(0.626,0.466)",end
B3Rxp6L,11,right_shoulder_angle,116.16,"(0.454,0.353)",end
B3Rxp6L,11,left_shoulder_angle,98.35,"(0.565,0.426)",end
B3Rxp6L,11,right_elbow_angle,147.09,"(0.396,0.268)",end
