exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
BLCvwr2,0,left_elbow_angle,143.44,"(0.720,0.362)",start
BLCvwr2,0,right_elbow_angle,127.33,"(0.503,0.415)",start
BLCvwr2,3,left_elbow_angle,165.06,"(0.741,0.380)",quarter
BLCvwr2,3,right_elbow_angle,108.03,"(0.513,0.411)",quarter
BLCvwr2,6,left_elbow_angle,161.71,"(0.737,0.377)",peak
BLCvwr2,6,right_elbow_angle,88.78,"(0.514,0.415)",peak
BLCvwr2,9,left_elbow_angle,173.45,"(0.743,0.384)",return
BLCvwr2,9,right_elbow_angle,78.77,"(0.514,0.412)",return
BLCvwr2,11,left_elbow_angle,158.85,"(0.740,0.382)",end
BLCvwr2,11,right_elbow_angle,124.83,"(0.528,0.410)",end
