exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
C0eCeEt,0,torso_angle,1.4881150929946656,,start
C0eCeEt,0,left_elbow_angle,110.86,"(0.590,0.309)",start
C0eCeEt,0,right_hip_angle,168.84,"(0.455,0.421)",start
C0eCeEt,0,right_elbow_angle,92.8,"(0.391,0.314)",start
C0eCeEt,0,left_hip_angle,178.91,"(0.537,0.421)",start
C0eCeEt,4,torso_angle,0.47023237191827055,,quarter
C0eCeEt,4,left_elbow_angle,116.23,"(0.590,0.308)",quarter
C0eCeEt,4,right_hip_angle,81.03,"(0.458,0.420)",quarter
C0eCeEt,4,right_elbow_angle,86.5,"(0.391,0.314)",quarter
C0eCeEt,4,left_hip_angle,174.46,"(0.526,0.426)",quarter
C0eCeEt,9,torso_angle,0.6718720678062216,,peak
C0eCeEt,9,left_elbow_angle,121.85,"(0.599,0.306)",peak
C0eCeEt,9,right_hip_angle,110.42,"(0.472,0.421)",peak
C0eCeEt,9,right_elbow_angle,79.53,"(0.391,0.313)",peak
C0eCeEt,9,left_hip_angle,144.09,"(0.527,0.419)",peak
C0eCeEt,13,torso_angle,1.3320118097895952,,return
C0eCeEt,13,left_elbow_angle,119.47,"(0.597,0.305)",return
C0eCeEt,13,right_hip_angle,141.5,"(0.478,0.421)",return
C0eCeEt,13,right_elbow_angle,78.6,"(0.391,0.314)",return
C0eCeEt,13,left_hip_angle,142.95,"(0.528,0.419)",return
C0eCeEt,17,torso_angle,1.4289772862965557,,end
C0eCeEt,17,left_elbow_angle,117.27,"(0.595,0.305)",end
C0eCeEt,17,right_hip_angle,173.02,"(0.467,0.425)",end
C0eCeEt,17,right_elbow_angle,84.03,"(0.389,0.317)",end
C0eCeEt,17,left_hip_angle,155.82,"(0.532,0.424)",end
