exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
CggQhII,0,left_shoulder_angle,42.61,"(0.597,0.532)",start
CggQhII,0,right_shoulder_angle,53.02,"(0.508,0.533)",start
CggQhII,0,left_elbow_angle,51.65,"(0.647,0.583)",start
CggQhII,0,right_elbow_angle,0.86,"(0.457,0.595)",start
CggQhII,3,left_shoulder_angle,47.47,"(0.598,0.520)",quarter
CggQhII,3,right_shoulder_angle,53.55,"(0.501,0.528)",quarter
CggQhII,3,left_elbow_angle,53.14,"(0.650,0.566)",quarter
CggQhII,3,right_elbow_angle,19.6,"(0.445,0.593)",quarter
CggQhII,6,left_shoulder_angle,122.91,"(0.598,0.502)",peak
CggQhII,6,right_shoulder_angle,24.95,"(0.508,0.515)",peak
CggQhII,6,left_elbow_angle,151.15,"(0.659,0.463)",peak
CggQhII,6,right_elbow_angle,15.46,"(0.510,0.517)",peak
CggQhII,9,left_shoulder_angle,85.55,"(0.599,0.508)",return
CggQhII,9,right_shoulder_angle,37.82,"(0.507,0.518)",return
CggQhII,9,left_elbow_angle,88.27,"(0.664,0.514)",return
CggQhII,9,right_elbow_angle,26.97,"(0.491,0.547)",return
CggQhII,11,left_shoulder_angle,66.08,"(0.599,0.512)",end
CggQhII,11,right_shoulder_angle,48.13,"(0.504,0.520)",end
CggQhII,11,left_elbow_angle,61.98,"(0.639,0.530)",end
CggQhII,11,right_elbow_angle,27.52,"(0.454,0.583)",end
