exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
D9qe7CM,0,left_hip_angle,128.31,"(0.636,0.517)",start
D9qe7CM,0,left_knee_angle,60.7,"(0.754,0.366)",start
D9qe7CM,0,right_hip_angle,132.78,"(0.646,0.580)",start
D9qe7CM,0,right_knee_angle,62.51,"(0.781,0.415)",start
D9qe7CM,3,left_hip_angle,144.53,"(0.630,0.487)",quarter
D9qe7CM,3,left_knee_angle,66.38,"(0.773,0.363)",quarter
D9qe7CM,3,right_hip_angle,144.99,"(0.632,0.571)",quarter
D9qe7CM,3,right_knee_angle,72.39,"(0.782,0.438)",quarter
D9qe7CM,6,left_hip_angle,164.35,"(0.630,0.447)",peak
D9qe7CM,6,left_knee_angle,71.59,"(0.803,0.360)",peak
D9qe7CM,6,right_hip_angle,169.07,"(0.623,0.502)",peak
D9qe7CM,6,right_knee_angle,79.36,"(0.782,0.415)",peak
D9qe7CM,9,left_hip_angle,156.42,"(0.629,0.461)",return
D9qe7CM,9,left_knee_angle,69.35,"(0.792,0.358)",return
D9qe7CM,9,right_hip_angle,161.57,"(0.626,0.527)",return
D9qe7CM,9,right_knee_angle,66.09,"(0.800,0.414)",return
D9qe7CM,11,left_hip_angle,150.4,"(0.629,0.471)",end
D9qe7CM,11,left_knee_angle,67.73,"(0.776,0.356)",end
D9qe7CM,11,right_hip_angle,154.78,"(0.633,0.535)",end
D9qe7CM,11,right_knee_angle,61.03,"(0.797,0.401)",end
