exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
DU7I633,0,right_shoulder_angle,67.62,"(0.413,0.421)",start
DU7I633,0,right_elbow_angle,138.13,"(0.346,0.412)",start
DU7I633,0,left_shoulder_angle,65.94,"(0.522,0.489)",start
DU7I633,0,left_elbow_angle,3.23,"(0.560,0.580)",start
DU7I633,3,right_shoulder_angle,109.04,"(0.422,0.413)",quarter
DU7I633,3,right_elbow_angle,136.39,"(0.372,0.353)",quarter
DU7I633,3,left_shoulder_angle,144.54,"(0.522,0.478)",quarter
DU7I633,3,left_elbow_angle,112.01,"(0.552,0.471)",quarter
DU7I633,6,right_shoulder_angle,120.85,"(0.428,0.411)",peak
DU7I633,6,right_elbow_angle,164.15,"(0.386,0.329)",peak
DU7I633,6,left_shoulder_angle,167.32,"(0.522,0.471)",peak
DU7I633,6,left_elbow_angle,168.48,"(0.548,0.422)",peak
DU7I633,9,right_shoulder_angle,120.61,"(0.431,0.405)",return
DU7I633,9,right_elbow_angle,166.16,"(0.387,0.318)",return
DU7I633,9,left_shoulder_angle,179.24,"(0.526,0.466)",return
DU7I633,9,left_elbow_angle,153.15,"(0.549,0.440)",return
DU7I633,11,right_shoulder_angle,50.01,"(0.424,0.407)",end
DU7I633,11,right_elbow_angle,176.76,"(0.360,0.417)",end
DU7I633,11,left_shoulder_angle,60.5,"(0.526,0.476)",end
DU7I633,11,left_elbow_angle,5.32,"(0.550,0.549)",end
