exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
DhMl549,0,left_knee_angle,173.27,"(0.435,0.673)",start
DhMl549,0,right_knee_angle,179.45,"(0.559,0.671)",start
DhMl549,0,left_hip_angle,164.0,"(0.463,0.489)",start
DhMl549,0,right_hip_angle,162.64,"(0.536,0.490)",start
DhMl549,3,left_knee_angle,165.8,"(0.421,0.671)",quarter
DhMl549,3,right_knee_angle,172.69,"(0.577,0.669)",quarter
DhMl549,3,left_hip_angle,159.51,"(0.460,0.506)",quarter
DhMl549,3,right_hip_angle,160.85,"(0.545,0.507)",quarter
DhMl549,6,left_knee_angle,80.6,"(0.398,0.672)",peak
DhMl549,6,right_knee_angle,86.23,"(0.622,0.684)",peak
DhMl549,6,left_hip_angle,79.77,"(0.451,0.674)",peak
DhMl549,6,right_hip_angle,87.4,"(0.546,0.672)",peak
DhMl549,9,left_knee_angle,38.49,"(0.564,0.676)",return
DhMl549,9,right_knee_angle,46.82,"(0.427,0.682)",return
DhMl549,9,left_hip_angle,29.95,"(0.536,0.717)",return
DhMl549,9,right_hip_angle,41.39,"(0.466,0.717)",return
DhMl549,11,left_knee_angle,71.92,"(0.399,0.677)",end
DhMl549,11,right_knee_angle,109.78,"(0.570,0.685)",end
DhMl549,11,left_hip_angle,87.06,"(0.474,0.674)",end
DhMl549,11,right_hip_angle,111.73,"(0.530,0.666)",end
