exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
Dx2RIva,0,left_ankle_angle,128.81,"(0.557,0.475)",start
Dx2RIva,0,right_elbow_angle,166.77,"(0.342,0.649)",start
Dx2RIva,0,right_knee_angle,96.32,"(0.525,0.693)",start
Dx2RIva,0,left_knee_angle,168.2,"(0.469,0.557)",start
Dx2RIva,0,right_ankle_angle,107.69,"(0.555,0.776)",start
Dx2RIva,3,left_ankle_angle,101.93,"(0.555,0.768)",quarter
Dx2RIva,3,right_elbow_angle,164.2,"(0.329,0.651)",quarter
Dx2RIva,3,right_knee_angle,69.94,"(0.475,0.712)",quarter
Dx2RIva,3,left_knee_angle,122.36,"(0.494,0.675)",quarter
Dx2RIva,3,right_ankle_angle,119.59,"(0.437,0.816)",quarter
Dx2RIva,6,left_ankle_angle,91.38,"(0.553,0.770)",peak
Dx2RIva,6,right_elbow_angle,165.29,"(0.337,0.651)",peak
Dx2RIva,6,right_knee_angle,62.16,"(0.551,0.629)",peak
Dx2RIva,6,left_knee_angle,72.66,"(0.548,0.621)",peak
Dx2RIva,6,right_ankle_angle,113.44,"(0.545,0.789)",peak
Dx2RIva,9,left_ankle_angle,85.25,"(0.522,0.791)",return
Dx2RIva,9,right_elbow_angle,166.34,"(0.336,0.653)",return
Dx2RIva,9,right_knee_angle,70.3,"(0.515,0.711)",return
Dx2RIva,9,left_knee_angle,83.97,"(0.527,0.668)",return
Dx2RIva,9,right_ankle_angle,71.71,"(0.470,0.822)",return
Dx2RIva,11,left_ankle_angle,101.74,"(0.501,0.816)",end
Dx2RIva,11,right_elbow_angle,167.62,"(0.336,0.653)",end
Dx2RIva,11,right_knee_angle,61.62,"(0.522,0.691)",end
Dx2RIva,11,left_knee_angle,70.81,"(0.534,0.658)",end
Dx2RIva,11,right_ankle_angle,67.71,"(0.471,0.810)",end
