exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
EMpUwRI,0,left_shoulder_angle,163.46,"(0.518,0.495)",start
EMpUwRI,0,right_shoulder_angle,70.73,"(0.452,0.410)",start
EMpUwRI,0,left_elbow_angle,172.01,"(0.527,0.485)",start
EMpUwRI,0,right_elbow_angle,80.96,"(0.406,0.381)",start
EMpUwRI,3,left_shoulder_angle,145.27,"(0.518,0.486)",quarter
EMpUwRI,3,right_shoulder_angle,86.93,"(0.445,0.408)",quarter
EMpUwRI,3,left_elbow_angle,108.68,"(0.537,0.487)",quarter
EMpUwRI,3,right_elbow_angle,133.08,"(0.406,0.367)",quarter
EMpUwRI,6,left_shoulder_angle,151.43,"(0.511,0.484)",peak
EMpUwRI,6,right_shoulder_angle,108.3,"(0.440,0.408)",peak
EMpUwRI,6,left_elbow_angle,164.81,"(0.536,0.437)",peak
EMpUwRI,6,right_elbow_angle,137.67,"(0.412,0.345)",peak
EMpUwRI,9,left_shoulder_angle,168.2,"(0.511,0.485)",return
EMpUwRI,9,right_shoulder_angle,109.0,"(0.437,0.406)",return
EMpUwRI,9,left_elbow_angle,135.59,"(0.539,0.474)",return
EMpUwRI,9,right_elbow_angle,138.72,"(0.412,0.349)",return
EMpUwRI,11,left_shoulder_angle,117.44,"(0.515,0.490)",end
EMpUwRI,11,right_shoulder_angle,101.47,"(0.442,0.404)",end
EMpUwRI,11,left_elbow_angle,87.3,"(0.536,0.503)",end
EMpUwRI,11,right_elbow_angle,110.19,"(0.413,0.354)",end
