exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
ETZfAbZ,0,left_shoulder_angle,45.09,"(0.422,0.651)",start
ETZfAbZ,0,right_shoulder_angle,116.07,"(0.491,0.604)",start
ETZfAbZ,0,left_elbow_angle,164.61,"(0.362,0.653)",start
ETZfAbZ,0,right_elbow_angle,104.05,"(0.512,0.587)",start
ETZfAbZ,3,left_shoulder_angle,11.98,"(0.402,0.642)",quarter
ETZfAbZ,3,right_shoulder_angle,30.1,"(0.487,0.610)",quarter
ETZfAbZ,3,left_elbow_angle,151.98,"(0.353,0.567)",quarter
ETZfAbZ,3,right_elbow_angle,47.79,"(0.460,0.572)",quarter
ETZfAbZ,6,left_shoulder_angle,14.27,"(0.404,0.641)",peak
ETZfAbZ,6,right_shoulder_angle,35.46,"(0.485,0.611)",peak
ETZfAbZ,6,left_elbow_angle,156.09,"(0.349,0.558)",peak
ETZfAbZ,6,right_elbow_angle,50.66,"(0.461,0.567)",peak
ETZfAbZ,9,left_shoulder_angle,15.78,"(0.400,0.637)",return
ETZfAbZ,9,right_shoulder_angle,42.48,"(0.485,0.614)",return
ETZfAbZ,9,left_elbow_angle,159.4,"(0.350,0.557)",return
ETZfAbZ,9,right_elbow_angle,53.52,"(0.469,0.571)",return
ETZfAbZ,11,left_shoulder_angle,10.73,"(0.412,0.639)",end
ETZfAbZ,11,right_shoulder_angle,72.37,"(0.485,0.618)",end
ETZfAbZ,11,left_elbow_angle,9.76,"(0.366,0.614)",end
ETZfAbZ,11,right_elbow_angle,68.62,"(0.487,0.604)",end
