exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
FY3UdNT,0,left_ankle_angle,116.45,"(0.278,0.875)",start
FY3UdNT,0,right_elbow_angle,176.31,"(0.450,0.465)",start
FY3UdNT,0,right_knee_angle,178.0,"(0.348,0.737)",start
FY3UdNT,0,left_knee_angle,168.79,"(0.309,0.718)",start
FY3UdNT,0,right_ankle_angle,106.49,"(0.307,0.897)",start
FY3UdNT,3,left_ankle_angle,118.92,"(0.277,0.872)",quarter
FY3UdNT,3,right_elbow_angle,174.98,"(0.452,0.437)",quarter
FY3UdNT,3,right_knee_angle,176.96,"(0.355,0.723)",quarter
FY3UdNT,3,left_knee_angle,169.55,"(0.308,0.710)",quarter
FY3UdNT,3,right_ankle_angle,121.37,"(0.317,0.892)",quarter
FY3UdNT,6,left_ankle_angle,149.31,"(0.292,0.856)",peak
FY3UdNT,6,right_elbow_angle,177.0,"(0.451,0.411)",peak
FY3UdNT,6,right_knee_angle,179.77,"(0.355,0.702)",peak
FY3UdNT,6,left_knee_angle,171.9,"(0.314,0.691)",peak
FY3UdNT,6,right_ankle_angle,145.09,"(0.324,0.873)",peak
FY3UdNT,9,left_ankle_angle,140.07,"(0.281,0.864)",return
FY3UdNT,9,right_elbow_angle,178.56,"(0.456,0.424)",return
FY3UdNT,9,right_knee_angle,178.37,"(0.357,0.708)",return
FY3UdNT,9,left_knee_angle,168.93,"(0.313,0.695)",return
FY3UdNT,9,right_ankle_angle,138.21,"(0.323,0.877)",return
FY3UdNT,11,left_ankle_angle,134.66,"(0.280,0.870)",end
FY3UdNT,11,right_elbow_angle,171.9,"(0.456,0.427)",end
FY3UdNT,11,right_knee_angle,179.9,"(0.353,0.723)",end
FY3UdNT,11,left_knee_angle,169.45,"(0.313,0.708)",end
FY3UdNT,11,right_ankle_angle,124.48,"(0.317,0.890)",end
