exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
FxhcxUW,0,right_ankle_angle,124.42,"(0.610,0.813)",start
FxhcxUW,0,right_knee_angle,108.33,"(0.628,0.582)",start
FxhcxUW,0,left_knee_angle,101.89,"(0.750,0.593)",start
FxhcxUW,0,right_elbow_angle,110.3,"(0.442,0.401)",start
FxhcxUW,0,left_ankle_angle,114.21,"(0.696,0.811)",start
FxhcxUW,3,right_ankle_angle,141.7,"(0.633,0.801)",quarter
FxhcxUW,3,right_knee_angle,99.09,"(0.628,0.540)",quarter
FxhcxUW,3,left_knee_angle,104.09,"(0.750,0.593)",quarter
FxhcxUW,3,right_elbow_angle,123.91,"(0.447,0.401)",quarter
FxhcxUW,3,left_ankle_angle,113.31,"(0.696,0.814)",quarter
FxhcxUW,6,right_ankle_angle,146.68,"(0.625,0.770)",peak
FxhcxUW,6,right_knee_angle,89.94,"(0.630,0.522)",peak
FxhcxUW,6,left_knee_angle,103.37,"(0.752,0.593)",peak
FxhcxUW,6,right_elbow_angle,95.2,"(0.433,0.396)",peak
FxhcxUW,6,left_ankle_angle,113.14,"(0.698,0.817)",peak
FxhcxUW,9,right_ankle_angle,144.69,"(0.626,0.775)",return
FxhcxUW,9,right_knee_angle,89.24,"(0.631,0.520)",return
FxhcxUW,9,left_knee_angle,103.77,"(0.752,0.593)",return
FxhcxUW,9,right_elbow_angle,115.93,"(0.447,0.396)",return
FxhcxUW,9,left_ankle_angle,112.88,"(0.698,0.818)",return
FxhcxUW,11,right_ankle_angle,143.28,"(0.620,0.796)",end
FxhcxUW,11,right_knee_angle,105.91,"(0.625,0.564)",end
FxhcxUW,11,left_knee_angle,105.1,"(0.749,0.594)",end
FxhcxUW,11,right_elbow_angle,116.44,"(0.447,0.394)",end
FxhcxUW,11,left_ankle_angle,113.66,"(0.698,0.818)",end
