exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
G61cXLk,0,left_shoulder_angle,111.54,"(0.739,0.492)",start
G61cXLk,0,left_elbow_angle,152.76,"(0.661,0.440)",start
G61cXLk,3,left_shoulder_angle,107.13,"(0.752,0.491)",quarter
G61cXLk,3,left_elbow_angle,152.91,"(0.668,0.436)",quarter
G61cXLk,6,left_shoulder_angle,155.94,"(0.753,0.486)",peak
G61cXLk,6,left_elbow_angle,62.14,"(0.748,0.456)",peak
G61cXLk,9,left_shoulder_angle,136.94,"(0.756,0.487)",return
G61cXLk,9,left_elbow_angle,163.43,"(0.737,0.450)",return
G61cXLk,11,left_shoulder_angle,116.12,"(0.746,0.490)",end
G61cXLk,11,left_elbow_angle,161.58,"(0.671,0.429)",end
