exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
GWoKnIm,0,left_hip_angle,71.8,"(0.729,0.590)",start
GWoKnIm,0,right_knee_angle,179.14,"(0.410,0.681)",start
GWoKnIm,0,right_hip_angle,112.78,"(0.618,0.589)",start
GWoKnIm,0,left_knee_angle,41.96,"(0.914,0.586)",start
GWoKnIm,3,left_hip_angle,78.14,"(0.734,0.571)",quarter
GWoKnIm,3,right_knee_angle,89.72,"(0.456,0.617)",quarter
GWoKnIm,3,right_hip_angle,108.98,"(0.618,0.557)",quarter
GWoKnIm,3,left_knee_angle,30.57,"(0.910,0.583)",quarter
GWoKnIm,6,left_hip_angle,150.91,"(0.588,0.610)",peak
GWoKnIm,6,right_knee_angle,140.81,"(0.604,0.631)",peak
GWoKnIm,6,right_hip_angle,163.32,"(0.601,0.616)",peak
GWoKnIm,6,left_knee_angle,136.6,"(0.601,0.638)",peak
GWoKnIm,9,left_hip_angle,109.48,"(0.697,0.586)",return
GWoKnIm,9,right_knee_angle,37.07,"(0.700,0.512)",return
GWoKnIm,9,right_hip_angle,48.13,"(0.629,0.582)",return
GWoKnIm,9,left_knee_angle,33.71,"(0.854,0.609)",return
GWoKnIm,11,left_hip_angle,88.67,"(0.714,0.585)",end
GWoKnIm,11,right_knee_angle,165.58,"(0.442,0.633)",end
GWoKnIm,11,right_hip_angle,103.4,"(0.628,0.580)",end
GWoKnIm,11,left_knee_angle,37.02,"(0.891,0.599)",end
