exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
Gchi5Tr,0,right_shoulder_angle,89.81,"(0.478,0.400)",start
Gchi5Tr,0,right_elbow_angle,130.99,"(0.493,0.399)",start
Gchi5Tr,0,left_shoulder_angle,151.58,"(0.578,0.363)",start
Gchi5Tr,0,left_elbow_angle,119.48,"(0.617,0.306)",start
Gchi5Tr,3,right_shoulder_angle,112.63,"(0.478,0.400)",quarter
Gchi5Tr,3,right_elbow_angle,142.55,"(0.529,0.375)",quarter
Gchi5Tr,3,left_shoulder_angle,149.5,"(0.569,0.365)",quarter
Gchi5Tr,3,left_elbow_angle,121.22,"(0.615,0.297)",quarter
Gchi5Tr,6,right_shoulder_angle,108.04,"(0.476,0.401)",peak
Gchi5Tr,6,right_elbow_angle,145.66,"(0.526,0.381)",peak
Gchi5Tr,6,left_shoulder_angle,153.46,"(0.567,0.365)",peak
Gchi5Tr,6,left_elbow_angle,131.18,"(0.609,0.290)",peak
Gchi5Tr,9,right_shoulder_angle,126.64,"(0.477,0.398)",return
Gchi5Tr,9,right_elbow_angle,166.07,"(0.521,0.360)",return
Gchi5Tr,9,left_shoulder_angle,162.11,"(0.568,0.362)",return
Gchi5Tr,9,left_elbow_angle,134.76,"(0.607,0.260)",return
Gchi5Tr,11,right_shoulder_angle,127.96,"(0.478,0.391)",end
Gchi5Tr,11,right_elbow_angle,167.11,"(0.518,0.355)",end
Gchi5Tr,11,left_shoulder_angle,158.66,"(0.569,0.362)",end
Gchi5Tr,11,left_elbow_angle,130.15,"(0.610,0.270)",end
