exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
Gpn4ADc,0,left_shoulder_angle,37.48,"(0.683,0.482)",start
Gpn4ADc,0,right_shoulder_angle,48.78,"(0.590,0.479)",start
Gpn4ADc,0,left_elbow_angle,48.45,"(0.720,0.535)",start
Gpn4ADc,0,right_elbow_angle,40.09,"(0.535,0.547)",start
Gpn4ADc,3,left_shoulder_angle,33.67,"(0.681,0.477)",quarter
Gpn4ADc,3,right_shoulder_angle,34.21,"(0.592,0.474)",quarter
Gpn4ADc,3,left_elbow_angle,28.56,"(0.716,0.533)",quarter
Gpn4ADc,3,right_elbow_angle,34.44,"(0.565,0.530)",quarter
Gpn4ADc,6,left_shoulder_angle,82.08,"(0.676,0.468)",peak
Gpn4ADc,6,right_shoulder_angle,114.88,"(0.596,0.470)",peak
Gpn4ADc,6,left_elbow_angle,82.64,"(0.713,0.473)",peak
Gpn4ADc,6,right_elbow_angle,133.01,"(0.574,0.464)",peak
Gpn4ADc,9,left_shoulder_angle,53.17,"(0.676,0.466)",return
Gpn4ADc,9,right_shoulder_angle,43.21,"(0.594,0.469)",return
Gpn4ADc,9,left_elbow_angle,53.73,"(0.711,0.492)",return
Gpn4ADc,9,right_elbow_angle,45.3,"(0.568,0.506)",return
Gpn4ADc,11,left_shoulder_angle,50.37,"(0.678,0.468)",end
Gpn4ADc,11,right_shoulder_angle,38.72,"(0.589,0.469)",end
Gpn4ADc,11,left_elbow_angle,48.86,"(0.716,0.500)",end
Gpn4ADc,11,right_elbow_angle,54.29,"(0.549,0.540)",end
