exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
HUEqZ1y,0,left_hip_angle,148.82,"(0.680,0.479)",start
HUEqZ1y,0,left_knee_angle,175.47,"(0.753,0.646)",start
HUEqZ1y,0,right_hip_angle,164.98,"(0.602,0.480)",start
HUEqZ1y,0,right_knee_angle,171.65,"(0.564,0.682)",start
HUEqZ1y,3,left_hip_angle,145.36,"(0.662,0.495)",quarter
HUEqZ1y,3,left_knee_angle,172.52,"(0.751,0.668)",quarter
HUEqZ1y,3,right_hip_angle,177.35,"(0.563,0.519)",quarter
HUEqZ1y,3,right_knee_angle,157.46,"(0.568,0.702)",quarter
HUEqZ1y,6,left_hip_angle,130.17,"(0.589,0.580)",peak
HUEqZ1y,6,left_knee_angle,173.59,"(0.693,0.692)",peak
HUEqZ1y,6,right_hip_angle,157.18,"(0.515,0.593)",peak
HUEqZ1y,6,right_knee_angle,121.46,"(0.588,0.724)",peak
HUEqZ1y,9,left_hip_angle,137.33,"(0.600,0.548)",return
HUEqZ1y,9,left_knee_angle,179.88,"(0.694,0.681)",return
HUEqZ1y,9,right_hip_angle,167.06,"(0.540,0.570)",return
HUEqZ1y,9,right_knee_angle,136.73,"(0.584,0.714)",return
HUEqZ1y,11,left_hip_angle,153.39,"(0.648,0.512)",end
HUEqZ1y,11,left_knee_angle,171.98,"(0.711,0.675)",end
HUEqZ1y,11,right_hip_angle,170.43,"(0.584,0.519)",end
HUEqZ1y,11,right_knee_angle,158.78,"(0.577,0.705)",end
