exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
HYe1ZqR,0,left_shoulder_angle,75.11,"(0.625,0.423)",start
HYe1ZqR,0,right_shoulder_angle,61.9,"(0.493,0.375)",start
HYe1ZqR,0,left_elbow_angle,97.99,"(0.671,0.493)",start
HYe1ZqR,0,right_elbow_angle,138.61,"(0.419,0.376)",start
HYe1ZqR,3,left_shoulder_angle,84.52,"(0.628,0.424)",quarter
HYe1ZqR,3,right_shoulder_angle,112.77,"(0.504,0.367)",quarter
HYe1ZqR,3,left_elbow_angle,146.53,"(0.682,0.487)",quarter
HYe1ZqR,3,right_elbow_angle,124.57,"(0.456,0.304)",quarter
HYe1ZqR,6,left_shoulder_angle,163.61,"(0.628,0.408)",peak
HYe1ZqR,6,right_shoulder_angle,130.69,"(0.515,0.362)",peak
HYe1ZqR,6,left_elbow_angle,151.5,"(0.674,0.313)",peak
HYe1ZqR,6,right_elbow_angle,148.49,"(0.491,0.283)",peak
HYe1ZqR,9,left_shoulder_angle,100.98,"(0.631,0.422)",return
HYe1ZqR,9,right_shoulder_angle,110.83,"(0.514,0.364)",return
HYe1ZqR,9,left_elbow_angle,171.21,"(0.691,0.461)",return
HYe1ZqR,9,right_elbow_angle,126.31,"(0.470,0.306)",return
HYe1ZqR,11,left_shoulder_angle,87.51,"(0.635,0.425)",end
HYe1ZqR,11,right_shoulder_angle,67.09,"(0.512,0.364)",end
HYe1ZqR,11,left_elbow_angle,148.17,"(0.697,0.494)",end
HYe1ZqR,11,right_elbow_angle,146.91,"(0.440,0.352)",end
