exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
I1OBLnn,0,left_elbow_angle,165.94,"(0.557,0.224)",start
I1OBLnn,0,right_shoulder_angle,55.15,"(0.347,0.196)",start
I1OBLnn,0,left_shoulder_angle,82.38,"(0.462,0.209)",start
I1OBLnn,0,right_elbow_angle,149.45,"(0.409,0.229)",start
I1OBLnn,3,left_elbow_angle,136.82,"(0.555,0.246)",quarter
I1OBLnn,3,right_shoulder_angle,39.79,"(0.334,0.203)",quarter
I1OBLnn,3,left_shoulder_angle,68.66,"(0.467,0.209)",quarter
I1OBLnn,3,right_elbow_angle,126.14,"(0.407,0.264)",quarter
I1OBLnn,6,left_elbow_angle,160.18,"(0.528,0.274)",peak
I1OBLnn,6,right_shoulder_angle,12.77,"(0.326,0.203)",peak
I1OBLnn,6,left_shoulder_angle,44.59,"(0.468,0.210)",peak
I1OBLnn,6,right_elbow_angle,118.62,"(0.357,0.270)",peak
I1OBLnn,9,left_elbow_angle,118.95,"(0.546,0.271)",return
I1OBLnn,9,right_shoulder_angle,19.9,"(0.328,0.205)",return
I1OBLnn,9,left_shoulder_angle,52.45,"(0.469,0.209)",return
I1OBLnn,9,right_elbow_angle,115.42,"(0.368,0.271)",return
I1OBLnn,11,left_elbow_angle,129.56,"(0.550,0.256)",end
I1OBLnn,11,right_shoulder_angle,36.63,"(0.332,0.205)",end
I1OBLnn,11,left_shoulder_angle,61.56,"(0.469,0.210)",end
I1OBLnn,11,right_elbow_angle,134.31,"(0.378,0.247)",end
