exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
I3tsCnC,0,torso_angle,4.0404459227694565,,start
I3tsCnC,0,left_elbow_angle,165.8,"(0.583,0.213)",start
I3tsCnC,0,right_hip_angle,175.41,"(0.481,0.539)",start
I3tsCnC,0,right_elbow_angle,164.95,"(0.453,0.210)",start
I3tsCnC,0,left_hip_angle,171.74,"(0.538,0.536)",start
I3tsCnC,3,torso_angle,5.404252697357157,,quarter
I3tsCnC,3,left_elbow_angle,170.8,"(0.583,0.207)",quarter
I3tsCnC,3,right_hip_angle,152.96,"(0.483,0.539)",quarter
I3tsCnC,3,right_elbow_angle,162.31,"(0.453,0.211)",quarter
I3tsCnC,3,left_hip_angle,111.71,"(0.537,0.537)",quarter
I3tsCnC,6,torso_angle,5.84745874259328,,peak
I3tsCnC,6,left_elbow_angle,172.91,"(0.583,0.203)",peak
I3tsCnC,6,right_hip_angle,83.95,"(0.482,0.540)",peak
I3tsCnC,6,right_elbow_angle,161.73,"(0.453,0.209)",peak
I3tsCnC,6,left_hip_angle,92.76,"(0.538,0.547)",peak
I3tsCnC,9,torso_angle,6.551238998439819,,return
I3tsCnC,9,left_elbow_angle,174.25,"(0.584,0.203)",return
I3tsCnC,9,right_hip_angle,86.01,"(0.482,0.540)",return
I3tsCnC,9,right_elbow_angle,161.06,"(0.453,0.211)",return
I3tsCnC,9,left_hip_angle,129.47,"(0.537,0.547)",return
I3tsCnC,11,torso_angle,8.055823207593434,,end
I3tsCnC,11,left_elbow_angle,174.34,"(0.584,0.203)",end
I3tsCnC,11,right_hip_angle,131.45,"(0.472,0.540)",end
I3tsCnC,11,right_elbow_angle,161.36,"(0.453,0.211)",end
I3tsCnC,11,left_hip_angle,178.44,"(0.536,0.546)",end
