exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
IENzBdA,0,left_elbow_angle,178.54,"(0.567,0.367)",start
IENzBdA,0,right_shoulder_angle,11.79,"(0.394,0.233)",start
IENzBdA,0,left_shoulder_angle,10.62,"(0.556,0.238)",start
IENzBdA,0,right_elbow_angle,175.78,"(0.388,0.367)",start
IENzBdA,3,left_elbow_angle,179.16,"(0.565,0.355)",quarter
IENzBdA,3,right_shoulder_angle,16.71,"(0.395,0.227)",quarter
IENzBdA,3,left_shoulder_angle,10.38,"(0.555,0.234)",quarter
IENzBdA,3,right_elbow_angle,163.32,"(0.380,0.336)",quarter
IENzBdA,6,left_elbow_angle,57.14,"(0.563,0.333)",peak
IENzBdA,6,right_shoulder_angle,26.11,"(0.400,0.222)",peak
IENzBdA,6,left_shoulder_angle,10.8,"(0.554,0.230)",peak
IENzBdA,6,right_elbow_angle,10.63,"(0.378,0.289)",peak
IENzBdA,9,left_elbow_angle,155.39,"(0.562,0.340)",return
IENzBdA,9,right_shoulder_angle,22.01,"(0.400,0.221)",return
IENzBdA,9,left_shoulder_angle,10.23,"(0.553,0.228)",return
IENzBdA,9,right_elbow_angle,4.87,"(0.378,0.309)",return
IENzBdA,11,left_elbow_angle,171.34,"(0.562,0.341)",end
IENzBdA,11,right_shoulder_angle,16.95,"(0.399,0.221)",end
IENzBdA,11,left_shoulder_angle,10.02,"(0.552,0.228)",end
IENzBdA,11,right_elbow_angle,159.94,"(0.383,0.326)",end
