exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
JmMVpR3,0,left_shoulder_angle,107.21,"(0.732,0.366)",start
JmMVpR3,0,right_shoulder_angle,26.64,"(0.589,0.350)",start
JmMVpR3,0,left_elbow_angle,168.9,"(0.799,0.488)",start
JmMVpR3,0,right_elbow_angle,146.69,"(0.456,0.477)",start
JmMVpR3,3,left_shoulder_angle,60.32,"(0.771,0.428)",quarter
JmMVpR3,3,right_shoulder_angle,9.3,"(0.621,0.339)",quarter
JmMVpR3,3,left_elbow_angle,77.46,"(0.731,0.518)",quarter
JmMVpR3,3,right_elbow_angle,43.31,"(0.501,0.399)",quarter
JmMVpR3,6,right_shoulder_angle,10.12,"(0.615,0.510)",peak
JmMVpR3,6,right_elbow_angle,82.14,"(0.448,0.499)",peak
JmMVpR3,9,right_shoulder_angle,22.79,"(0.637,0.359)",return
JmMVpR3,9,right_elbow_angle,48.33,"(0.514,0.347)",return
JmMVpR3,11,right_shoulder_angle,0.05,"(0.633,0.353)",end
JmMVpR3,11,right_elbow_angle,94.82,"(0.478,0.390)",end
