exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
KHPZL0b,0,left_shoulder_angle,30.16,"(0.525,0.345)",start
KHPZL0b,0,right_shoulder_angle,43.7,"(0.463,0.340)",start
KHPZL0b,0,left_elbow_angle,54.22,"(0.570,0.426)",start
KHPZL0b,0,right_elbow_angle,77.45,"(0.533,0.415)",start
KHPZL0b,3,left_shoulder_angle,33.07,"(0.530,0.345)",quarter
KHPZL0b,3,right_shoulder_angle,35.21,"(0.449,0.340)",quarter
KHPZL0b,3,left_elbow_angle,44.67,"(0.580,0.426)",quarter
KHPZL0b,3,right_elbow_angle,67.9,"(0.486,0.387)",quarter
KHPZL0b,6,left_shoulder_angle,119.43,"(0.530,0.325)",peak
KHPZL0b,6,right_shoulder_angle,2.22,"(0.446,0.339)",peak
KHPZL0b,6,left_elbow_angle,122.39,"(0.575,0.301)",peak
KHPZL0b,6,right_elbow_angle,17.8,"(0.450,0.379)",peak
KHPZL0b,9,left_shoulder_angle,39.19,"(0.530,0.327)",return
KHPZL0b,9,right_shoulder_angle,28.78,"(0.447,0.339)",return
KHPZL0b,9,left_elbow_angle,40.03,"(0.579,0.388)",return
KHPZL0b,9,right_elbow_angle,33.61,"(0.478,0.387)",return
KHPZL0b,11,left_shoulder_angle,30.1,"(0.533,0.328)",end
KHPZL0b,11,right_shoulder_angle,8.57,"(0.446,0.339)",end
KHPZL0b,11,left_elbow_angle,31.63,"(0.579,0.411)",end
KHPZL0b,11,right_elbow_angle,38.8,"(0.464,0.414)",end
