exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
LCtQPn8,0,right_shoulder_angle,53.84,"(0.327,0.266)",start
LCtQPn8,0,right_elbow_angle,166.5,"(0.291,0.409)",start
LCtQPn8,3,right_shoulder_angle,57.4,"(0.328,0.260)",quarter
LCtQPn8,3,right_elbow_angle,174.12,"(0.292,0.371)",quarter
LCtQPn8,6,right_shoulder_angle,57.37,"(0.331,0.253)",peak
LCtQPn8,6,right_elbow_angle,161.22,"(0.305,0.329)",peak
LCtQPn8,9,right_shoulder_angle,56.23,"(0.331,0.252)",return
LCtQPn8,9,right_elbow_angle,179.4,"(0.303,0.340)",return
LCtQPn8,11,right_shoulder_angle,55.8,"(0.327,0.252)",end
LCtQPn8,11,right_elbow_angle,174.62,"(0.299,0.348)",end
