exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
LMGXZn8,0,right_shoulder_angle,56.98,"(0.676,0.471)",start
LMGXZn8,0,right_elbow_angle,173.45,"(0.642,0.326)",start
LMGXZn8,0,left_elbow_angle,170.94,"(0.561,0.347)",start
LMGXZn8,0,left_shoulder_angle,54.77,"(0.592,0.530)",start
LMGXZn8,3,right_shoulder_angle,28.52,"(0.660,0.505)",quarter
LMGXZn8,3,right_elbow_angle,115.26,"(0.572,0.392)",quarter
LMGXZn8,3,left_elbow_angle,90.91,"(0.510,0.383)",quarter
LMGXZn8,3,left_shoulder_angle,35.46,"(0.596,0.530)",quarter
LMGXZn8,6,right_shoulder_angle,35.52,"(0.653,0.505)",peak
LMGXZn8,6,right_elbow_angle,53.55,"(0.583,0.385)",peak
LMGXZn8,6,left_elbow_angle,52.13,"(0.511,0.402)",peak
LMGXZn8,6,left_shoulder_angle,32.36,"(0.596,0.534)",peak
LMGXZn8,9,right_shoulder_angle,22.63,"(0.656,0.508)",return
LMGXZn8,9,right_elbow_angle,97.36,"(0.556,0.411)",return
LMGXZn8,9,left_elbow_angle,55.48,"(0.502,0.406)",return
LMGXZn8,9,left_shoulder_angle,28.42,"(0.598,0.534)",return
LMGXZn8,11,right_shoulder_angle,51.56,"(0.672,0.482)",end
LMGXZn8,11,right_elbow_angle,160.05,"(0.618,0.335)",end
LMGXZn8,11,left_elbow_angle,158.15,"(0.552,0.366)",end
LMGXZn8,11,left_shoulder_angle,49.89,"(0.599,0.534)",end
