exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
LNE3wfo,0,left_hip_angle,173.67,"(0.473,0.482)",start
LNE3wfo,0,left_knee_angle,162.07,"(0.674,0.471)",start
LNE3wfo,0,right_hip_angle,178.92,"(0.469,0.537)",start
LNE3wfo,0,right_knee_angle,160.35,"(0.679,0.516)",start
LNE3wfo,3,left_hip_angle,167.03,"(0.464,0.528)",quarter
LNE3wfo,3,left_knee_angle,162.5,"(0.666,0.504)",quarter
LNE3wfo,3,right_hip_angle,140.25,"(0.463,0.530)",quarter
LNE3wfo,3,right_knee_angle,91.94,"(0.601,0.387)",quarter
LNE3wfo,6,left_hip_angle,169.66,"(0.456,0.518)",peak
LNE3wfo,6,left_knee_angle,168.17,"(0.663,0.499)",peak
LNE3wfo,6,right_hip_angle,135.78,"(0.455,0.536)",peak
LNE3wfo,6,right_knee_angle,68.25,"(0.587,0.379)",peak
LNE3wfo,9,left_hip_angle,170.53,"(0.457,0.520)",return
LNE3wfo,9,left_knee_angle,168.54,"(0.664,0.509)",return
LNE3wfo,9,right_hip_angle,138.18,"(0.455,0.537)",return
LNE3wfo,9,right_knee_angle,90.32,"(0.592,0.389)",return
LNE3wfo,11,left_hip_angle,160.49,"(0.461,0.499)",end
LNE3wfo,11,left_knee_angle,137.99,"(0.656,0.439)",end
LNE3wfo,11,right_hip_angle,171.46,"(0.462,0.537)",end
LNE3wfo,11,right_knee_angle,154.93,"(0.650,0.490)",end
