exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
M74kdvm,0,left_shoulder_angle,14.44,"(0.533,0.347)",start
M74kdvm,0,right_shoulder_angle,10.02,"(0.398,0.338)",start
M74kdvm,0,left_elbow_angle,172.7,"(0.554,0.456)",start
M74kdvm,0,right_elbow_angle,163.03,"(0.399,0.454)",start
M74kdvm,4,left_shoulder_angle,13.4,"(0.533,0.348)",quarter
M74kdvm,4,right_shoulder_angle,13.82,"(0.404,0.341)",quarter
M74kdvm,4,left_elbow_angle,177.4,"(0.554,0.455)",quarter
M74kdvm,4,right_elbow_angle,155.21,"(0.400,0.457)",quarter
M74kdvm,9,left_shoulder_angle,167.26,"(0.523,0.333)",peak
M74kdvm,9,right_shoulder_angle,167.01,"(0.422,0.327)",peak
M74kdvm,9,left_elbow_angle,172.54,"(0.542,0.242)",peak
M74kdvm,9,right_elbow_angle,156.12,"(0.398,0.269)",peak
M74kdvm,13,left_shoulder_angle,167.38,"(0.517,0.322)",return
M74kdvm,13,right_shoulder_angle,173.08,"(0.423,0.311)",return
M74kdvm,13,left_elbow_angle,174.01,"(0.538,0.218)",return
M74kdvm,13,right_elbow_angle,164.34,"(0.397,0.213)",return
M74kdvm,17,left_shoulder_angle,11.2,"(0.518,0.327)",end
M74kdvm,17,right_shoulder_angle,171.34,"(0.421,0.317)",end
M74kdvm,17,left_elbow_angle,176.12,"(0.535,0.410)",end
M74kdvm,17,right_elbow_angle,160.43,"(0.388,0.205)",end
