exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
Mr8d4KA,0,left_shoulder_angle,9.33,"(0.553,0.358)",start
Mr8d4KA,0,right_shoulder_angle,9.31,"(0.442,0.357)",start
Mr8d4KA,0,right_elbow_angle,57.39,"(0.459,0.430)",start
Mr8d4KA,3,left_shoulder_angle,54.84,"(0.551,0.355)",quarter
Mr8d4KA,3,right_shoulder_angle,176.19,"(0.444,0.349)",quarter
Mr8d4KA,3,right_elbow_angle,175.66,"(0.440,0.313)",quarter
Mr8d4KA,6,left_shoulder_angle,3.06,"(0.547,0.366)",peak
Mr8d4KA,6,right_shoulder_angle,177.15,"(0.441,0.346)",peak
Mr8d4KA,6,right_elbow_angle,173.31,"(0.433,0.284)",peak
Mr8d4KA,9,left_shoulder_angle,70.88,"(0.547,0.358)",return
Mr8d4KA,9,right_shoulder_angle,178.62,"(0.443,0.342)",return
Mr8d4KA,9,left_elbow_angle,111.86,"(0.517,0.366)",return
Mr8d4KA,9,right_elbow_angle,177.29,"(0.436,0.265)",return
Mr8d4KA,11,left_shoulder_angle,7.02,"(0.550,0.358)",end
Mr8d4KA,11,right_shoulder_angle,172.41,"(0.441,0.342)",end
Mr8d4KA,11,left_elbow_angle,163.76,"(0.534,0.434)",end
Mr8d4KA,11,right_elbow_angle,156.48,"(0.433,0.303)",end
