exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
NdIb5Z1,0,left_shoulder_angle,17.76,"(0.600,0.257)",start
NdIb5Z1,0,right_shoulder_angle,18.96,"(0.463,0.253)",start
NdIb5Z1,0,left_elbow_angle,174.01,"(0.613,0.380)",start
NdIb5Z1,0,right_elbow_angle,167.25,"(0.439,0.348)",start
NdIb5Z1,3,left_shoulder_angle,19.96,"(0.600,0.257)",quarter
NdIb5Z1,3,right_shoulder_angle,18.38,"(0.463,0.255)",quarter
NdIb5Z1,3,left_elbow_angle,4.68,"(0.614,0.356)",quarter
NdIb5Z1,3,right_elbow_angle,64.58,"(0.435,0.349)",quarter
NdIb5Z1,6,left_shoulder_angle,24.74,"(0.596,0.256)",peak
NdIb5Z1,6,right_shoulder_angle,21.09,"(0.463,0.255)",peak
NdIb5Z1,6,left_elbow_angle,0.07,"(0.617,0.350)",peak
NdIb5Z1,6,right_elbow_angle,60.15,"(0.427,0.355)",peak
NdIb5Z1,9,left_shoulder_angle,32.48,"(0.596,0.256)",return
NdIb5Z1,9,right_shoulder_angle,20.03,"(0.462,0.255)",return
NdIb5Z1,9,left_elbow_angle,9.91,"(0.624,0.329)",return
NdIb5Z1,9,right_elbow_angle,69.04,"(0.428,0.355)",return
NdIb5Z1,11,left_shoulder_angle,31.02,"(0.596,0.255)",end
NdIb5Z1,11,right_shoulder_angle,18.74,"(0.461,0.254)",end
NdIb5Z1,11,left_elbow_angle,9.53,"(0.624,0.336)",end
NdIb5Z1,11,right_elbow_angle,149.5,"(0.429,0.354)",end
