exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
P2lNrGL,0,left_shoulder_angle,18.1,"(0.733,0.255)",start
P2lNrGL,0,right_shoulder_angle,44.97,"(0.595,0.255)",start
P2lNrGL,0,left_elbow_angle,147.38,"(0.665,0.405)",start
P2lNrGL,0,right_elbow_angle,171.4,"(0.517,0.358)",start
P2lNrGL,3,left_shoulder_angle,18.46,"(0.734,0.255)",quarter
P2lNrGL,3,right_shoulder_angle,43.32,"(0.585,0.247)",quarter
P2lNrGL,3,left_elbow_angle,96.23,"(0.666,0.408)",quarter
P2lNrGL,3,right_elbow_angle,17.54,"(0.510,0.351)",quarter
P2lNrGL,6,left_shoulder_angle,21.57,"(0.733,0.248)",peak
P2lNrGL,6,right_shoulder_angle,41.72,"(0.584,0.241)",peak
P2lNrGL,6,left_elbow_angle,50.44,"(0.663,0.387)",peak
P2lNrGL,6,right_elbow_angle,15.58,"(0.509,0.352)",peak
P2lNrGL,9,left_shoulder_angle,19.28,"(0.733,0.248)",return
P2lNrGL,9,right_shoulder_angle,42.82,"(0.585,0.241)",return
P2lNrGL,9,left_elbow_angle,55.82,"(0.662,0.411)",return
P2lNrGL,9,right_elbow_angle,6.61,"(0.507,0.349)",return
P2lNrGL,11,left_shoulder_angle,22.03,"(0.733,0.248)",end
P2lNrGL,11,right_shoulder_angle,43.31,"(0.585,0.243)",end
P2lNrGL,11,left_elbow_angle,127.79,"(0.652,0.411)",end
P2lNrGL,11,right_elbow_angle,179.51,"(0.508,0.349)",end
