exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
PDHE73u,0,right_hip_angle,80.74,"(0.375,0.487)",start
PDHE73u,0,right_knee_angle,142.63,"(0.457,0.684)",start
PDHE73u,3,right_hip_angle,80.53,"(0.365,0.495)",quarter
PDHE73u,3,right_knee_angle,149.61,"(0.445,0.688)",quarter
PDHE73u,6,right_hip_angle,102.64,"(0.384,0.442)",peak
PDHE73u,6,right_knee_angle,154.12,"(0.448,0.668)",peak
PDHE73u,9,right_hip_angle,92.85,"(0.360,0.478)",return
PDHE73u,9,right_knee_angle,153.28,"(0.439,0.681)",return
PDHE73u,11,right_hip_angle,82.53,"(0.370,0.490)",end
PDHE73u,11,right_knee_angle,150.26,"(0.456,0.682)",end
