exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
PG1kcIb,0,left_shoulder_angle,75.3,"(0.576,0.406)",start
PG1kcIb,0,right_shoulder_angle,78.38,"(0.424,0.405)",start
PG1kcIb,0,left_elbow_angle,36.41,"(0.665,0.442)",start
PG1kcIb,0,right_elbow_angle,24.79,"(0.338,0.437)",start
PG1kcIb,3,left_shoulder_angle,71.32,"(0.573,0.403)",quarter
PG1kcIb,3,right_shoulder_angle,76.67,"(0.427,0.404)",quarter
PG1kcIb,3,left_elbow_angle,52.91,"(0.650,0.439)",quarter
PG1kcIb,3,right_elbow_angle,39.02,"(0.355,0.434)",quarter
PG1kcIb,6,left_shoulder_angle,121.42,"(0.568,0.394)",peak
PG1kcIb,6,right_shoulder_angle,138.63,"(0.430,0.397)",peak
PG1kcIb,6,left_elbow_angle,114.55,"(0.615,0.369)",peak
PG1kcIb,6,right_elbow_angle,119.34,"(0.392,0.364)",peak
PG1kcIb,9,left_shoulder_angle,101.51,"(0.567,0.394)",return
PG1kcIb,9,right_shoulder_angle,134.16,"(0.430,0.397)",return
PG1kcIb,9,left_elbow_angle,90.31,"(0.622,0.387)",return
PG1kcIb,9,right_elbow_angle,114.94,"(0.388,0.367)",return
PG1kcIb,11,left_shoulder_angle,77.32,"(0.569,0.395)",end
PG1kcIb,11,right_shoulder_angle,87.2,"(0.430,0.397)",end
PG1kcIb,11,left_elbow_angle,58.44,"(0.628,0.413)",end
PG1kcIb,11,right_elbow_angle,59.87,"(0.382,0.407)",end
