exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
PKlXuJW,6,right_shoulder_angle,1.53,"(0.411,0.397)",peak
PKlXuJW,6,left_shoulder_angle,95.66,"(0.537,0.382)",peak
PKlXuJW,6,torso_angle,2.64608121135314,,peak
PKlXuJW,6,left_elbow_angle,167.77,"(0.647,0.378)",peak
PKlXuJW,6,right_hip_angle,127.07,"(0.449,0.643)",peak
PKlXuJW,6,right_elbow_angle,74.25,"(0.423,0.463)",peak
PKlXuJW,6,left_hip_angle,100.03,"(0.522,0.623)",peak
PKlXuJW,9,right_shoulder_angle,69.1,"(0.413,0.387)",return
PKlXuJW,9,left_shoulder_angle,92.58,"(0.519,0.382)",return
PKlXuJW,9,torso_angle,3.42597821900713,,return
PKlXuJW,9,left_elbow_angle,165.73,"(0.637,0.380)",return
PKlXuJW,9,right_hip_angle,113.48,"(0.448,0.644)",return
PKlXuJW,9,right_elbow_angle,147.24,"(0.541,0.417)",return
PKlXuJW,9,left_hip_angle,97.69,"(0.513,0.614)",return
PKlXuJW,11,right_shoulder_angle,90.27,"(0.484,0.387)",end
PKlXuJW,11,left_shoulder_angle,65.03,"(0.442,0.382)",end
PKlXuJW,11,torso_angle,1.4120673918182112,,end
PKlXuJW,11,left_elbow_angle,156.37,"(0.505,0.412)",end
PKlXuJW,11,right_hip_angle,106.84,"(0.474,0.609)",end
PKlXuJW,11,right_elbow_angle,155.62,"(0.629,0.393)",end
PKlXuJW,11,left_hip_angle,98.89,"(0.442,0.605)",end
