exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
PQ2AtC3,0,torso_angle,14.470513260316876,,start
PQ2AtC3,0,left_elbow_angle,56.81,"(0.674,0.162)",start
PQ2AtC3,0,right_hip_angle,141.51,"(0.545,0.449)",start
PQ2AtC3,0,right_elbow_angle,147.31,"(0.453,0.220)",start
PQ2AtC3,0,left_hip_angle,118.81,"(0.614,0.435)",start
PQ2AtC3,3,torso_angle,10.437389687551473,,quarter
PQ2AtC3,3,left_elbow_angle,34.03,"(0.690,0.299)",quarter
PQ2AtC3,3,right_hip_angle,110.93,"(0.595,0.446)",quarter
PQ2AtC3,3,right_elbow_angle,30.13,"(0.534,0.320)",quarter
PQ2AtC3,3,left_hip_angle,107.03,"(0.653,0.431)",quarter
PQ2AtC3,6,torso_angle,2.614027131973631,,peak
PQ2AtC3,6,left_elbow_angle,19.91,"(0.754,0.300)",peak
PQ2AtC3,6,right_hip_angle,109.8,"(0.599,0.437)",peak
PQ2AtC3,6,right_elbow_angle,132.87,"(0.553,0.336)",peak
PQ2AtC3,6,left_hip_angle,100.9,"(0.674,0.418)",peak
PQ2AtC3,9,torso_angle,4.298495966904465,,return
PQ2AtC3,9,left_elbow_angle,21.46,"(0.738,0.300)",return
PQ2AtC3,9,right_hip_angle,157.77,"(0.597,0.431)",return
PQ2AtC3,9,right_elbow_angle,146.99,"(0.543,0.330)",return
PQ2AtC3,9,left_hip_angle,102.74,"(0.677,0.414)",return
PQ2AtC3,11,torso_angle,11.995721953351131,,end
PQ2AtC3,11,left_elbow_angle,51.2,"(0.689,0.184)",end
PQ2AtC3,11,right_hip_angle,138.75,"(0.552,0.431)",end
PQ2AtC3,11,right_elbow_angle,5.89,"(0.471,0.236)",end
PQ2AtC3,11,left_hip_angle,112.27,"(0.625,0.416)",end
