exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
PQcUlDi,0,right_shoulder_angle,72.64,"(0.623,0.572)",start
PQcUlDi,0,left_shoulder_angle,55.99,"(0.517,0.578)",start
PQcUlDi,0,left_elbow_angle,141.23,"(0.437,0.456)",start
PQcUlDi,0,right_elbow_angle,145.5,"(0.612,0.486)",start
PQcUlDi,3,right_shoulder_angle,81.58,"(0.620,0.570)",quarter
PQcUlDi,3,left_shoulder_angle,37.17,"(0.493,0.605)",quarter
PQcUlDi,3,left_elbow_angle,152.17,"(0.388,0.674)",quarter
PQcUlDi,3,right_elbow_angle,97.99,"(0.612,0.514)",quarter
PQcUlDi,6,right_shoulder_angle,76.63,"(0.615,0.584)",peak
PQcUlDi,6,left_shoulder_angle,39.51,"(0.498,0.608)",peak
PQcUlDi,6,left_elbow_angle,147.42,"(0.388,0.692)",peak
PQcUlDi,6,right_elbow_angle,80.73,"(0.612,0.597)",peak
PQcUlDi,9,right_shoulder_angle,57.55,"(0.600,0.582)",return
PQcUlDi,9,left_shoulder_angle,37.61,"(0.495,0.611)",return
PQcUlDi,9,left_elbow_angle,151.55,"(0.386,0.687)",return
PQcUlDi,9,right_elbow_angle,99.67,"(0.582,0.554)",return
PQcUlDi,11,right_shoulder_angle,93.2,"(0.625,0.563)",end
PQcUlDi,11,left_shoulder_angle,67.06,"(0.509,0.606)",end
PQcUlDi,11,left_elbow_angle,158.68,"(0.435,0.416)",end
PQcUlDi,11,right_elbow_angle,169.81,"(0.625,0.416)",end
