exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
PdmaD0N,0,right_shoulder_angle,17.29,"(0.501,0.208)",start
PdmaD0N,0,right_elbow_angle,109.14,"(0.492,0.254)",start
PdmaD0N,3,right_shoulder_angle,177.22,"(0.469,0.331)",quarter
PdmaD0N,3,right_elbow_angle,111.94,"(0.462,0.259)",quarter
PdmaD0N,6,right_shoulder_angle,176.19,"(0.464,0.357)",peak
PdmaD0N,6,right_elbow_angle,172.78,"(0.460,0.317)",peak
PdmaD0N,9,right_shoulder_angle,167.62,"(0.462,0.347)",return
PdmaD0N,9,right_elbow_angle,171.42,"(0.465,0.295)",return
PdmaD0N,11,right_shoulder_angle,174.03,"(0.469,0.338)",end
PdmaD0N,11,right_elbow_angle,170.96,"(0.468,0.319)",end
