exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
Pr9Rhf4,0,left_shoulder_angle,140.39,"(0.582,0.330)",start
Pr9Rhf4,0,right_shoulder_angle,132.68,"(0.428,0.326)",start
Pr9Rhf4,0,left_elbow_angle,175.53,"(0.653,0.266)",start
Pr9Rhf4,0,right_elbow_angle,175.82,"(0.365,0.278)",start
Pr9Rhf4,3,left_shoulder_angle,140.94,"(0.580,0.329)",quarter
Pr9Rhf4,3,right_shoulder_angle,66.13,"(0.428,0.339)",quarter
Pr9Rhf4,3,left_elbow_angle,179.63,"(0.653,0.260)",quarter
Pr9Rhf4,3,right_elbow_angle,31.92,"(0.374,0.369)",quarter
Pr9Rhf4,6,left_shoulder_angle,39.88,"(0.584,0.368)",peak
Pr9Rhf4,6,right_shoulder_angle,35.13,"(0.421,0.367)",peak
Pr9Rhf4,6,left_elbow_angle,127.48,"(0.637,0.456)",peak
Pr9Rhf4,6,right_elbow_angle,125.59,"(0.374,0.459)",peak
Pr9Rhf4,9,left_shoulder_angle,136.35,"(0.437,0.368)",return
Pr9Rhf4,9,right_shoulder_angle,143.21,"(0.563,0.356)",return
Pr9Rhf4,9,left_elbow_angle,179.67,"(0.350,0.311)",return
Pr9Rhf4,9,right_elbow_angle,179.21,"(0.653,0.278)",return
Pr9Rhf4,11,left_shoulder_angle,144.76,"(0.545,0.344)",end
Pr9Rhf4,11,right_shoulder_angle,142.34,"(0.467,0.335)",end
Pr9Rhf4,11,left_elbow_angle,168.24,"(0.591,0.291)",end
Pr9Rhf4,11,right_elbow_angle,161.7,"(0.426,0.286)",end
