exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
PsVS1QP,0,right_shoulder_angle,16.29,"(0.499,0.314)",start
PsVS1QP,0,torso_angle,38.82347602809846,,start
PsVS1QP,0,left_shoulder_angle,25.93,"(0.598,0.370)",start
PsVS1QP,4,right_shoulder_angle,3.25,"(0.525,0.320)",quarter
PsVS1QP,4,torso_angle,38.00090311544576,,quarter
PsVS1QP,9,right_shoulder_angle,107.95,"(0.445,0.249)",peak
PsVS1QP,9,torso_angle,25.398497810180604,,peak
PsVS1QP,9,left_shoulder_angle,152.16,"(0.534,0.265)",peak
PsVS1QP,13,right_shoulder_angle,109.03,"(0.452,0.252)",return
PsVS1QP,13,torso_angle,21.35281103879153,,return
PsVS1QP,13,left_shoulder_angle,131.26,"(0.550,0.270)",return
PsVS1QP,17,right_shoulder_angle,10.02,"(0.491,0.292)",end
PsVS1QP,17,torso_angle,29.668356112824306,,end
PsVS1QP,17,left_shoulder_angle,19.9,"(0.561,0.330)",end
