exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
PskORrA,0,right_shoulder_angle,80.28,"(0.377,0.322)",start
PskORrA,0,left_shoulder_angle,105.45,"(0.441,0.324)",start
PskORrA,0,torso_angle,2.0716405261890185,,start
PskORrA,0,left_elbow_angle,175.67,"(0.537,0.302)",start
PskORrA,0,right_elbow_angle,149.67,"(0.441,0.326)",start
PskORrA,3,right_shoulder_angle,54.09,"(0.381,0.322)",quarter
PskORrA,3,left_shoulder_angle,105.84,"(0.437,0.324)",quarter
PskORrA,3,torso_angle,2.645857990730989,,quarter
PskORrA,3,left_elbow_angle,175.5,"(0.533,0.300)",quarter
PskORrA,3,right_elbow_angle,133.36,"(0.444,0.356)",quarter
PskORrA,6,right_shoulder_angle,12.42,"(0.381,0.313)",peak
PskORrA,6,left_shoulder_angle,5.23,"(0.413,0.325)",peak
PskORrA,6,torso_angle,5.553786385570206,,peak
PskORrA,6,left_elbow_angle,166.79,"(0.428,0.436)",peak
PskORrA,6,right_elbow_angle,172.42,"(0.410,0.389)",peak
PskORrA,9,right_shoulder_angle,16.12,"(0.382,0.317)",return
PskORrA,9,left_shoulder_angle,82.95,"(0.417,0.325)",return
PskORrA,9,torso_angle,4.956263213399234,,return
PskORrA,9,left_elbow_angle,158.15,"(0.484,0.331)",return
PskORrA,9,right_elbow_angle,135.26,"(0.418,0.397)",return
PskORrA,11,right_shoulder_angle,81.39,"(0.382,0.319)",end
PskORrA,11,left_shoulder_angle,96.33,"(0.418,0.325)",end
PskORrA,11,torso_angle,4.546619739107509,,end
PskORrA,11,left_elbow_angle,169.44,"(0.507,0.313)",end
PskORrA,11,right_elbow_angle,154.74,"(0.481,0.321)",end
