exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
QChZi3x,0,left_hip_angle,94.79,"(0.514,0.737)",start
QChZi3x,0,left_knee_angle,82.26,"(0.611,0.792)",start
QChZi3x,0,right_hip_angle,117.18,"(0.459,0.738)",start
QChZi3x,0,right_knee_angle,105.4,"(0.515,0.792)",start
QChZi3x,3,left_hip_angle,93.39,"(0.527,0.733)",quarter
QChZi3x,3,left_knee_angle,87.08,"(0.611,0.782)",quarter
QChZi3x,3,right_hip_angle,133.94,"(0.465,0.725)",quarter
QChZi3x,3,right_knee_angle,122.7,"(0.513,0.790)",quarter
QChZi3x,6,left_hip_angle,126.62,"(0.525,0.741)",peak
QChZi3x,6,left_knee_angle,144.54,"(0.556,0.792)",peak
QChZi3x,6,right_hip_angle,142.23,"(0.487,0.739)",peak
QChZi3x,6,right_knee_angle,144.82,"(0.513,0.795)",peak
QChZi3x,9,left_hip_angle,92.26,"(0.526,0.734)",return
QChZi3x,9,left_knee_angle,92.9,"(0.600,0.771)",return
QChZi3x,9,right_hip_angle,154.33,"(0.486,0.735)",return
QChZi3x,9,right_knee_angle,143.68,"(0.515,0.797)",return
QChZi3x,11,left_hip_angle,87.79,"(0.517,0.741)",end
QChZi3x,11,left_knee_angle,85.71,"(0.608,0.782)",end
QChZi3x,11,right_hip_angle,130.06,"(0.470,0.735)",end
QChZi3x,11,right_knee_angle,119.97,"(0.513,0.783)",end
