exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
QOA0FD0,3,torso_angle,5.643641112578966,,quarter
QOA0FD0,3,left_elbow_angle,167.28,"(0.603,0.224)",quarter
QOA0FD0,3,right_hip_angle,168.13,"(0.491,0.517)",quarter
QOA0FD0,3,right_elbow_angle,163.36,"(0.421,0.221)",quarter
QOA0FD0,3,left_hip_angle,60.32,"(0.555,0.498)",quarter
QOA0FD0,6,torso_angle,11.49141633587091,,peak
QOA0FD0,6,left_elbow_angle,165.28,"(0.603,0.230)",peak
QOA0FD0,6,right_hip_angle,27.56,"(0.513,0.518)",peak
QOA0FD0,6,right_elbow_angle,165.27,"(0.423,0.224)",peak
QOA0FD0,6,left_hip_angle,27.91,"(0.578,0.510)",peak
QOA0FD0,9,torso_angle,10.652986721711407,,return
QOA0FD0,9,left_elbow_angle,164.78,"(0.603,0.230)",return
QOA0FD0,9,right_hip_angle,162.02,"(0.512,0.533)",return
QOA0FD0,9,right_elbow_angle,165.09,"(0.422,0.227)",return
QOA0FD0,9,left_hip_angle,21.16,"(0.574,0.509)",return
QOA0FD0,11,torso_angle,4.0885542367108325,,end
QOA0FD0,11,left_elbow_angle,164.67,"(0.602,0.229)",end
QOA0FD0,11,right_hip_angle,169.93,"(0.488,0.540)",end
QOA0FD0,11,right_elbow_angle,165.6,"(0.422,0.228)",end
QOA0FD0,11,left_hip_angle,176.37,"(0.552,0.530)",end
