exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
QsSQWbf,0,left_ankle_angle,119.62,"(0.440,0.807)",start
QsSQWbf,0,left_elbow_angle,83.78,"(0.642,0.293)",start
QsSQWbf,0,right_elbow_angle,170.8,"(0.408,0.332)",start
QsSQWbf,0,right_knee_angle,177.84,"(0.481,0.673)",start
QsSQWbf,0,left_knee_angle,146.65,"(0.539,0.662)",start
QsSQWbf,0,right_ankle_angle,139.35,"(0.502,0.866)",start
QsSQWbf,3,left_elbow_angle,81.45,"(0.642,0.293)",quarter
QsSQWbf,3,right_elbow_angle,170.68,"(0.407,0.332)",quarter
QsSQWbf,3,right_knee_angle,177.54,"(0.480,0.662)",quarter
QsSQWbf,3,right_ankle_angle,121.48,"(0.486,0.855)",quarter
QsSQWbf,6,left_elbow_angle,81.95,"(0.642,0.292)",peak
QsSQWbf,6,right_elbow_angle,170.26,"(0.408,0.320)",peak
QsSQWbf,6,right_knee_angle,175.25,"(0.479,0.656)",peak
QsSQWbf,6,right_ankle_angle,117.0,"(0.478,0.848)",peak
QsSQWbf,9,left_elbow_angle,80.92,"(0.642,0.292)",return
QsSQWbf,9,right_elbow_angle,170.26,"(0.408,0.320)",return
QsSQWbf,9,right_knee_angle,174.16,"(0.479,0.654)",return
QsSQWbf,9,right_ankle_angle,116.93,"(0.474,0.846)",return
QsSQWbf,11,left_elbow_angle,81.26,"(0.642,0.292)",end
QsSQWbf,11,right_elbow_angle,170.19,"(0.408,0.321)",end
QsSQWbf,11,right_knee_angle,176.57,"(0.477,0.655)",end
QsSQWbf,11,right_ankle_angle,121.17,"(0.477,0.848)",end
