exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
REGM1dE,0,left_shoulder_angle,52.74,"(0.563,0.551)",start
REGM1dE,0,left_elbow_angle,49.79,"(0.442,0.587)",start
REGM1dE,3,left_shoulder_angle,34.11,"(0.550,0.509)",quarter
REGM1dE,3,left_elbow_angle,150.63,"(0.488,0.362)",quarter
REGM1dE,6,left_shoulder_angle,42.31,"(0.547,0.497)",peak
REGM1dE,6,left_elbow_angle,161.29,"(0.502,0.321)",peak
REGM1dE,9,left_shoulder_angle,36.36,"(0.550,0.498)",return
REGM1dE,9,left_elbow_angle,147.42,"(0.486,0.332)",return
REGM1dE,11,left_shoulder_angle,56.81,"(0.550,0.545)",end
REGM1dE,11,left_elbow_angle,57.19,"(0.456,0.571)",end
