exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
RaflbWD,0,left_shoulder_angle,38.9,"(0.722,0.273)",start
RaflbWD,0,right_shoulder_angle,11.27,"(0.572,0.225)",start
RaflbWD,0,left_elbow_angle,165.94,"(0.724,0.358)",start
RaflbWD,0,right_elbow_angle,165.84,"(0.514,0.311)",start
RaflbWD,3,left_shoulder_angle,29.88,"(0.728,0.276)",quarter
RaflbWD,3,right_shoulder_angle,27.19,"(0.564,0.220)",quarter
RaflbWD,3,left_elbow_angle,163.35,"(0.707,0.413)",quarter
RaflbWD,3,right_elbow_angle,90.0,"(0.483,0.290)",quarter
RaflbWD,6,left_shoulder_angle,29.0,"(0.732,0.275)",peak
RaflbWD,6,right_shoulder_angle,32.1,"(0.564,0.214)",peak
RaflbWD,6,left_elbow_angle,50.32,"(0.704,0.417)",peak
RaflbWD,6,right_elbow_angle,82.33,"(0.471,0.281)",peak
RaflbWD,9,left_shoulder_angle,28.34,"(0.733,0.277)",return
RaflbWD,9,right_shoulder_angle,38.96,"(0.560,0.214)",return
RaflbWD,9,left_elbow_angle,165.4,"(0.701,0.426)",return
RaflbWD,9,right_elbow_angle,99.56,"(0.462,0.269)",return
RaflbWD,11,left_shoulder_angle,28.23,"(0.735,0.277)",end
RaflbWD,11,right_shoulder_angle,18.89,"(0.560,0.217)",end
RaflbWD,11,left_elbow_angle,170.63,"(0.704,0.423)",end
RaflbWD,11,right_elbow_angle,174.43,"(0.468,0.324)",end
