exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
RtyAsy1,0,right_knee_angle,164.21,"(0.477,0.484)",start
RtyAsy1,0,left_hip_angle,156.22,"(0.395,0.570)",start
RtyAsy1,0,right_hip_angle,159.8,"(0.458,0.564)",start
RtyAsy1,12,left_knee_angle,163.45,"(0.400,0.721)",quarter
RtyAsy1,12,right_knee_angle,150.3,"(0.501,0.715)",quarter
RtyAsy1,12,left_hip_angle,1.83,"(0.399,0.602)",quarter
RtyAsy1,12,right_hip_angle,1.98,"(0.461,0.593)",quarter
RtyAsy1,24,left_knee_angle,148.5,"(0.500,0.427)",peak
RtyAsy1,24,right_knee_angle,166.42,"(0.504,0.631)",peak
RtyAsy1,24,left_hip_angle,146.49,"(0.406,0.547)",peak
RtyAsy1,24,right_hip_angle,34.32,"(0.452,0.583)",peak
RtyAsy1,36,left_knee_angle,132.96,"(0.452,0.393)",return
RtyAsy1,36,right_knee_angle,139.33,"(0.503,0.595)",return
RtyAsy1,36,left_hip_angle,165.75,"(0.407,0.534)",return
RtyAsy1,36,right_hip_angle,51.21,"(0.456,0.563)",return
RtyAsy1,47,left_knee_angle,139.36,"(0.416,0.464)",end
RtyAsy1,47,right_knee_angle,33.71,"(0.499,0.510)",end
RtyAsy1,47,left_hip_angle,176.66,"(0.406,0.543)",end
RtyAsy1,47,right_hip_angle,132.01,"(0.457,0.556)",end
