exerciseId,frameNumber,angleName,angleValue,landmarkCoordinates,phase
S4pwGlc,0,left_hip_angle,166.48,"(0.566,0.474)",start
S4pwGlc,0,left_knee_angle,174.47,"(0.608,0.650)",start
S4pwGlc,0,right_hip_angle,146.84,"(0.483,0.484)",start
S4pwGlc,0,right_knee_angle,177.72,"(0.403,0.689)",start
S4pwGlc,3,left_hip_angle,149.64,"(0.567,0.496)",quarter
S4pwGlc,3,left_knee_angle,139.84,"(0.662,0.655)",quarter
S4pwGlc,3,right_hip_angle,141.79,"(0.482,0.499)",quarter
S4pwGlc,3,right_knee_angle,168.98,"(0.386,0.686)",quarter
S4pwGlc,6,left_hip_angle,107.06,"(0.568,0.631)",peak
S4pwGlc,6,left_knee_angle,85.9,"(0.694,0.668)",peak
S4pwGlc,6,right_hip_angle,103.97,"(0.479,0.640)",peak
S4pwGlc,6,right_knee_angle,125.47,"(0.352,0.709)",peak
S4pwGlc,9,left_hip_angle,137.31,"(0.568,0.541)",return
S4pwGlc,9,left_knee_angle,119.77,"(0.684,0.666)",return
S4pwGlc,9,right_hip_angle,130.9,"(0.477,0.552)",return
S4pwGlc,9,right_knee_angle,151.96,"(0.361,0.698)",return
S4pwGlc,11,left_hip_angle,149.79,"(0.572,0.496)",end
S4pwGlc,11,left_knee_angle,134.73,"(0.675,0.665)",end
S4pwGlc,11,right_hip_angle,137.17,"(0.489,0.502)",end
S4pwGlc,11,right_knee_angle,166.71,"(0.381,0.694)",end
